,date,open,close,high,low,volume,code
0,2017-10-30 11:15,4.94,4.94,4.94,4.94,16.0,600866
1,2017-11-20 14:55,4.72,4.71,4.72,4.7,603.0,600866
2,2017-11-20 15:00,4.71,4.72,4.73,4.71,482.0,600866
3,2017-11-21 09:35,4.74,4.71,4.74,4.7,363.0,600866
4,2017-11-21 09:40,4.71,4.71,4.71,4.7,442.0,600866
5,2017-11-21 09:45,4.71,4.72,4.72,4.7,235.0,600866
6,2017-11-21 09:50,4.72,4.73,4.73,4.71,190.0,600866
7,2017-11-21 09:55,4.73,4.74,4.74,4.73,294.0,600866
8,2017-11-21 10:00,4.74,4.73,4.75,4.72,199.0,600866
9,2017-11-21 10:05,4.73,4.74,4.74,4.73,116.0,600866
10,2017-11-21 10:10,4.74,4.74,4.75,4.73,332.0,600866
11,2017-11-21 10:15,4.74,4.73,4.74,4.73,245.0,600866
12,2017-11-21 10:20,4.73,4.74,4.74,4.73,2.0,600866
13,2017-11-21 10:25,4.74,4.74,4.75,4.73,390.0,600866
14,2017-11-21 10:30,4.74,4.73,4.74,4.73,299.0,600866
15,2017-11-21 10:35,4.73,4.72,4.73,4.72,388.0,600866
16,2017-11-21 10:40,4.72,4.73,4.73,4.72,140.0,600866
17,2017-11-21 10:45,4.73,4.72,4.74,4.72,599.0,600866
18,2017-11-21 10:50,4.72,4.74,4.74,4.72,899.0,600866
19,2017-11-21 10:55,4.74,4.74,4.74,4.73,47.0,600866
20,2017-11-21 11:00,4.74,4.73,4.74,4.72,386.0,600866
21,2017-11-21 11:05,4.73,4.74,4.74,4.73,630.0,600866
22,2017-11-21 11:10,4.74,4.74,4.74,4.73,256.0,600866
23,2017-11-21 11:15,4.74,4.73,4.74,4.73,388.0,600866
24,2017-11-21 11:20,4.73,4.74,4.74,4.73,151.0,600866
25,2017-11-21 11:25,4.74,4.73,4.74,4.73,155.0,600866
26,2017-11-21 11:30,4.73,4.74,4.74,4.73,638.0,600866
27,2017-11-21 13:05,4.74,4.73,4.75,4.72,629.0,600866
28,2017-11-21 13:10,4.73,4.73,4.73,4.72,355.0,600866
29,2017-11-21 13:15,4.73,4.74,4.74,4.72,182.0,600866
30,2017-11-21 13:20,4.74,4.74,4.74,4.73,226.0,600866
31,2017-11-21 13:25,4.74,4.71,4.74,4.71,539.0,600866
32,2017-11-21 13:30,4.71,4.7,4.72,4.7,995.0,600866
33,2017-11-21 13:35,4.7,4.69,4.71,4.69,839.0,600866
34,2017-11-21 13:40,4.69,4.68,4.69,4.67,798.0,600866
35,2017-11-21 13:45,4.68,4.7,4.71,4.68,157.0,600866
36,2017-11-21 13:50,4.7,4.69,4.7,4.68,148.0,600866
37,2017-11-21 13:55,4.69,4.68,4.71,4.68,390.0,600866
38,2017-11-21 14:00,4.68,4.69,4.69,4.68,98.0,600866
39,2017-11-21 14:05,4.69,4.69,4.7,4.69,141.0,600866
40,2017-11-21 14:10,4.69,4.7,4.71,4.69,384.0,600866
41,2017-11-21 14:15,4.7,4.69,4.7,4.68,520.0,600866
