,date,open,close,high,low,volume,code
0,2017-10-30 11:15,7.83,7.84,7.84,7.83,2.0,600302
1,2017-11-20 14:55,7.47,7.48,7.5,7.47,470.0,600302
2,2017-11-20 15:00,7.48,7.46,7.49,7.45,521.0,600302
3,2017-11-21 09:35,7.46,7.49,7.5,7.44,146.0,600302
4,2017-11-21 09:40,7.49,7.48,7.49,7.47,126.0,600302
5,2017-11-21 09:45,7.48,7.47,7.53,7.47,573.0,600302
6,2017-11-21 09:50,7.47,7.49,7.49,7.47,327.0,600302
7,2017-11-21 09:55,7.49,7.48,7.49,7.46,416.0,600302
8,2017-11-21 10:00,7.48,7.49,7.49,7.48,1194.0,600302
9,2017-11-21 10:05,7.49,7.54,7.54,7.49,101.0,600302
10,2017-11-21 10:10,7.54,7.5,7.54,7.5,255.0,600302
11,2017-11-21 10:15,7.5,7.54,7.54,7.5,263.0,600302
12,2017-11-21 10:20,7.54,7.53,7.54,7.53,112.0,600302
13,2017-11-21 10:25,7.53,7.48,7.53,7.48,701.0,600302
14,2017-11-21 10:30,7.48,7.46,7.48,7.46,520.0,600302
15,2017-11-21 10:35,7.46,7.47,7.47,7.46,202.0,600302
16,2017-11-21 10:40,7.47,7.46,7.47,7.45,240.0,600302
17,2017-11-21 10:45,7.46,7.44,7.46,7.43,345.0,600302
18,2017-11-21 10:50,7.44,7.42,7.45,7.41,374.0,600302
19,2017-11-21 10:55,7.42,7.43,7.46,7.41,376.0,600302
20,2017-11-21 11:00,7.43,7.43,7.43,7.43,55.0,600302
21,2017-11-21 11:05,7.43,7.43,7.45,7.42,169.0,600302
22,2017-11-21 11:10,7.43,7.42,7.44,7.42,393.0,600302
23,2017-11-21 11:15,7.42,7.47,7.49,7.42,458.0,600302
24,2017-11-21 11:20,7.45,7.42,7.45,7.42,155.0,600302
25,2017-11-21 11:25,7.42,7.42,7.43,7.42,61.0,600302
26,2017-11-21 11:30,7.42,7.42,7.42,7.42,30.0,600302
27,2017-11-21 13:05,7.42,7.42,7.42,7.42,31.0,600302
28,2017-11-21 13:10,7.42,7.4,7.42,7.4,307.0,600302
29,2017-11-21 13:15,7.4,7.36,7.4,7.36,227.0,600302
30,2017-11-21 13:20,7.36,7.37,7.39,7.36,161.0,600302
31,2017-11-21 13:25,7.37,7.36,7.38,7.36,227.0,600302
32,2017-11-21 13:30,7.36,7.37,7.37,7.35,630.0,600302
33,2017-11-21 13:35,7.37,7.38,7.4,7.35,1226.0,600302
34,2017-11-21 13:40,7.38,7.37,7.38,7.37,29.0,600302
35,2017-11-21 13:45,7.37,7.35,7.37,7.35,647.0,600302
36,2017-11-21 13:50,7.35,7.31,7.35,7.31,430.0,600302
37,2017-11-21 13:55,7.31,7.31,7.34,7.31,1135.0,600302
38,2017-11-21 14:00,7.31,7.3,7.33,7.3,919.0,600302
39,2017-11-21 14:05,7.3,7.29,7.3,7.26,709.0,600302
40,2017-11-21 14:10,7.29,7.31,7.32,7.27,1408.0,600302
41,2017-11-21 14:15,7.31,7.32,7.32,7.28,656.0,600302
42,2017-11-21 14:20,7.32,7.28,7.32,7.27,412.0,600302
43,2017-11-21 14:25,7.28,7.3,7.31,7.27,654.0,600302
44,2017-11-21 14:30,7.3,7.29,7.3,7.27,403.0,600302
45,2017-11-21 14:35,7.29,7.26,7.29,7.26,817.0,600302
46,2017-11-21 14:40,7.26,7.27,7.28,7.26,259.0,600302
47,2017-11-21 14:45,7.27,7.25,7.29,7.25,1367.0,600302
48,2017-11-21 14:50,7.25,7.2,7.27,7.2,2134.0,600302
49,2017-11-21 14:55,7.2,7.18,7.24,7.18,2894.0,600302
50,2017-11-21 15:00,7.18,7.2,7.21,7.18,1332.0,600302
51,2017-11-22 09:35,7.21,7.25,7.3,7.21,1274.0,600302
52,2017-11-22 09:40,7.25,7.22,7.25,7.22,271.0,600302
53,2017-11-22 09:45,7.2,7.22,7.22,7.18,728.0,600302
54,2017-11-22 09:50,7.22,7.22,7.22,7.2,392.0,600302
55,2017-11-22 09:55,7.22,7.22,7.23,7.22,178.0,600302
56,2017-11-22 10:00,7.22,7.2,7.22,7.2,155.0,600302
57,2017-11-22 10:05,7.2,7.12,7.21,7.12,1035.0,600302
58,2017-11-22 10:10,7.12,7.17,7.21,7.12,575.0,600302
59,2017-11-22 10:15,7.17,7.17,7.17,7.15,1567.0,600302
60,2017-11-22 10:20,7.17,7.21,7.21,7.17,107.0,600302
61,2017-11-22 10:25,7.21,7.16,7.21,7.16,1059.0,600302
62,2017-11-22 10:30,7.16,7.19,7.2,7.16,33.0,600302
63,2017-11-22 10:35,7.19,7.21,7.21,7.19,424.0,600302
64,2017-11-22 10:40,7.21,7.19,7.21,7.19,211.0,600302
65,2017-11-22 10:45,7.19,7.19,7.19,7.18,236.0,600302
66,2017-11-22 10:50,7.19,7.2,7.21,7.19,67.0,600302
67,2017-11-22 10:55,7.2,7.21,7.21,7.19,206.0,600302
68,2017-11-22 11:00,7.21,7.21,7.21,7.21,47.0,600302
69,2017-11-22 11:05,7.21,7.23,7.23,7.21,62.0,600302
70,2017-11-22 11:10,7.23,7.2,7.23,7.2,313.0,600302
71,2017-11-22 11:15,7.2,7.21,7.21,7.19,377.0,600302
72,2017-11-22 11:20,7.21,7.18,7.21,7.18,240.0,600302
73,2017-11-22 11:25,7.18,7.2,7.21,7.17,297.0,600302
74,2017-11-22 11:30,7.2,7.17,7.21,7.17,32.0,600302
75,2017-11-22 13:05,7.17,7.17,7.22,7.17,190.0,600302
