B,S,custid
0.5,0.0,156069899.0
0.015384615384615385,0.0,156071435.0
0.1111111111111111,0.05555555555555555,156075020.0
0.08333333333333333,0.08333333333333333,156066842.0
0.16216216216216217,0.13513513513513514,156076060.0
0.125,0.0,156072991.0
0.0,0.0,127010336.0
0.058823529411764705,0.058823529411764705,156074540.0
0.0,0.0,156074029.0
0.2,0.0,156075056.0
0.06451612903225806,0.03225806451612903,156073521.0
0.10526315789473684,0.05263157894736842,128007222.0
0.1,0.0,156063798.0
0.0,0.0,156071488.0
0.25,0.0,156063301.0
0.04878048780487805,0.04878048780487805,156074566.0
0.1590909090909091,0.13636363636363635,156073549.0
0.047619047619047616,0.047619047619047616,156069455.0
0.125,0.125,156073046.0
0.0,0.0,156064869.0
0.125,0.125,156074110.0
0.08333333333333333,0.0,156076159.0
0.3333333333333333,0.0,156071556.0
0.05555555555555555,0.1111111111111111,156073101.0
0.2,0.0,156074129.0
0.06976744186046512,0.09302325581395349,156073619.0
0.0,0.0,156074646.0
0.0,0.08333333333333333,156074136.0
0.1,0.0,156074651.0
0.0,0.16666666666666666,156073121.0
0.0,0.15384615384615385,156073636.0
0.12280701754385964,0.017543859649122806,156075182.0
0.0,0.0,156066995.0
0.06,0.08,156075700.0
0.0,0.0,156063926.0
0.0,0.0,156068023.0
0.1,0.0,156073145.0
0.06741573033707865,0.056179775280898875,156072639.0
0.17647058823529413,0.0,156073155.0
0.13793103448275862,0.034482758620689655,156074181.0
0.0,0.07692307692307693,156065482.0
0.07352941176470588,0.08823529411764706,156073679.0
0.125,0.020833333333333332,156075218.0
0.058823529411764705,0.0,156074201.0
0.08620689655172414,0.10344827586206896,156072670.0
0.1,0.05,156073185.0
0.0,0.0,156074732.0
0.09230769230769231,0.06153846153846154,156070640.0
0.0,0.0,156064500.0
0.25,0.0,156073211.0
0.0,0.0,156073726.0
0.0,0.0,156073736.0
0.2,0.0,156069132.0
0.16666666666666666,0.13333333333333333,156071692.0
0.0,0.25,156072205.0
0.07692307692307693,0.0,156073230.0
0.06451612903225806,0.03225806451612903,156070686.0
0.0,0.5,156063009.0
0.0,0.0,156075305.0
0.15,0.1,156074285.0
0.0,0.14285714285714285,151002416.0
0.0,0.0,156073276.0
0.07692307692307693,0.0,156073296.0
0.05660377358490566,0.0,156070236.0
0.06666666666666667,0.06666666666666667,156074845.0
0.037037037037037035,0.037037037037037035,156073310.0
0.1111111111111111,0.1111111111111111,156073822.0
0.10526315789473684,0.13157894736842105,109023075.0
0.0,0.0,156065635.0
0.0,0.06896551724137931,156072805.0
0.0,0.16666666666666666,156070782.0
0.0,0.0,156062079.0
0.1,0.1,156074370.0
0.10526315789473684,0.02631578947368421,156074373.0
0.3333333333333333,0.0,108052368.0
0.0,0.3333333333333333,156072870.0
0.015384615384615385,0.03076923076923077,156066736.0
0.14285714285714285,0.14285714285714285,156068272.0
0.0,0.0,156075440.0
0.1,0.03333333333333333,156075955.0
0.1111111111111111,0.0,156066228.0
0.08108108108108109,0.08108108108108109,156071878.0
0.28846153846153844,0.0,156073416.0
0.25,0.0,156066265.0
0.1111111111111111,0.06666666666666667,156073436.0
0.15384615384615385,0.15384615384615385,156073443.0
0.057692307692307696,0.04807692307692308,156074468.0
0.0,0.3333333333333333,156074980.0
0.0,0.25,156071913.0
0.0,0.2,156074473.0
0.0,0.0,156073963.0
0.12844036697247707,0.03669724770642202,157002220.0
0.058823529411764705,0.029411764705882353,156069875.0
0.03225806451612903,0.12903225806451613,156073975.0
