code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000677,恒天海龙,化纤,山东,1489.46,8.64,8.64,84475.02,28404.76,38950.51,69768.81,0.81,0.002,0.32,10.56,19961226,-150178.95,-1.74,14.03,-57.28,12.09,0.35,53200.0
300156,神雾环保,环境保护,北京,14.87,7.22,10.1,767388.0,704441.94,15318.3,35107.55,0.35,0.675,3.07,4.36,20110107,168271.61,1.67,56.85,51.29,32.29,20.22,28245.0
600468,百利电气,电气设备,天津,77.14,7.98,8.11,278402.91,194844.94,34929.3,75342.49,0.93,0.082,2.23,2.82,20010615,21311.74,0.26,45.35,24.19,25.64,5.41,24502.0
603813,原尚股份,仓储物流,广东,54.51,0.22,0.88,71464.55,35604.9,20760.7,23223.07,2.63,0.57,6.25,5.0,20170918,21145.42,2.4,0.0,0.0,26.45,13.4,18615.0
600532,宏达矿业,普钢,上海,0.0,3.96,5.16,299180.34,107234.17,61618.95,104765.28,2.03,-0.092,3.6,2.07,20021031,27377.86,0.53,116.35,32.97,12.55,-11.13,19845.0
300281,金明精机,专用机械,广东,71.45,1.47,2.79,160957.77,103907.75,28798.91,63510.7,2.27,0.13,4.28,2.61,20111229,24973.27,0.89,15.57,12.24,33.71,11.48,7000.0
002429,兆驰股份,家用电器,深圳,24.78,39.73,45.27,1661966.0,1339260.75,112809.32,16980.57,0.04,0.133,1.82,1.81,20100610,317410.38,0.7,36.8,61.04,10.98,5.89,75700.0
300333,兆日科技,元器件,深圳,101.91,3.31,3.36,89648.43,56576.53,11588.96,38784.6,1.15,0.076,2.54,4.07,20120628,10762.6,0.32,19.13,17.7,63.32,16.06,35410.0
603311,金海环境,专用机械,浙江,36.04,0.93,2.1,90007.36,59077.98,15478.07,20809.56,0.99,0.383,3.42,4.04,20150518,27356.13,1.3,6.96,13.59,35.67,15.4,22200.0
002185,华天科技,半导体,甘肃,34.82,21.3,21.31,936644.38,358314.81,450795.19,112806.75,0.53,0.232,2.51,3.22,20071120,189124.27,0.89,28.03,26.67,17.9,7.06,101900.0
600315,上海家化,日用化工,上海,69.82,6.71,6.72,960395.88,436999.09,29706.28,87772.18,1.31,0.58,7.98,5.08,20010315,337572.59,5.03,8.82,93.95,64.93,6.01,23100.0
002079,苏州固锝,半导体,江苏,59.94,7.26,7.28,198100.97,132263.16,51371.7,30094.9,0.41,0.144,2.1,4.1,20061116,41300.25,0.57,56.2,-7.68,18.99,5.65,77300.0
603920,世运电路,元器件,广东,32.91,0.89,4.02,294390.53,242341.84,41304.05,131502.31,3.27,0.46,5.78,2.99,20170426,53326.1,1.33,0.0,0.0,23.67,10.74,42042.0
000936,华西股份,化纤,江苏,35.37,7.48,8.86,1113007.0,300246.63,32634.26,50789.1,0.57,0.221,5.1,1.53,19990810,138635.05,1.56,33.74,-67.67,10.54,6.87,69780.0
300465,高伟达,软件服务,北京,329.4,2.69,4.5,216385.77,94777.68,11300.98,36542.96,0.81,0.025,2.36,4.7,20150528,25833.61,0.57,40.72,-3.75,25.32,1.35,50342.0
600721,百花村,生物制药,新疆,37.6,3.03,4.0,275831.75,65173.55,11087.35,232218.2,5.8,0.174,5.88,1.48,19960626,-37280.15,-0.93,-21.98,-34.41,37.93,21.56,12537.0
000733,振华科技,元器件,贵州,33.47,4.69,4.69,899671.19,629692.94,148283.55,246167.05,5.24,0.434,8.84,1.64,19970703,90746.35,1.93,21.68,12.19,14.94,2.54,52200.0
002612,朗姿股份,服饰,北京,26.87,2.09,4.0,693796.31,214476.16,39873.26,148469.91,3.71,0.469,6.69,1.88,20110830,69253.74,1.73,72.06,14.36,57.35,7.97,27400.0
603987,康德莱,医疗保健,上海,31.38,1.9,3.15,156429.95,76175.75,66572.9,49291.98,1.56,0.287,3.8,3.16,20161121,35479.12,1.12,14.26,18.26,33.18,9.65,24557.0
603007,花王股份,建筑施工,江苏,69.98,1.94,3.33,289902.22,138774.02,6560.95,17762.3,0.53,0.048,3.01,4.42,20160826,43588.25,1.31,59.53,-44.75,29.16,7.77,22585.0
603378,亚士创能,染料涂料,上海,36.38,0.49,1.95,209883.13,146288.27,14070.97,57839.98,2.97,0.53,6.43,3.01,20170928,46842.21,2.4,0.0,0.0,32.0,8.0,49263.0
603937,丽岛新材,铝,江苏,53.72,0.52,2.09,94653.2,79028.31,12314.5,18406.34,0.88,0.339,4.91,4.93,20171102,39431.76,1.89,0.0,0.0,16.13,7.92,52615.0
600203,福日电子,元器件,福建,0.0,3.6,4.56,534459.0,364024.66,63549.33,161210.56,3.53,-0.247,4.5,2.08,19990514,-8724.46,-0.19,15.6,-276.52,6.38,-1.37,21100.0
000019,深深宝Ａ,软饮料,深圳,0.0,4.16,4.97,113233.67,57844.8,31870.65,36717.2,0.74,-0.053,1.91,5.59,19921012,5558.12,0.11,1.93,4.25,23.74,-11.44,73914.0
600520,文一科技,机械基件,安徽,441.95,1.58,1.58,86994.05,39600.51,13799.86,37950.73,2.4,0.05,2.76,8.04,20020108,-11291.37,-0.71,46.31,-35.62,20.68,2.54,19081.0
603936,博敏电子,元器件,广东,58.95,0.56,1.67,236555.16,117139.17,98666.65,34427.2,2.06,0.39,5.92,3.88,20151209,43026.5,2.57,30.31,22.19,17.53,3.71,17960.0
601872,招商轮船,水运,上海,32.52,47.21,52.99,3779088.75,744930.0,2520107.25,734466.44,1.39,0.116,2.87,1.31,20061201,334687.03,0.63,1.17,-64.48,23.82,10.08,180667.0
603958,哈森股份,服饰,江苏,102.53,0.66,2.2,140550.45,116960.97,12950.96,46205.46,2.1,0.1,5.22,2.49,20160629,39955.53,1.82,-12.41,-62.36,52.13,1.95,28438.0
300223,北京君正,半导体,北京,466.44,0.99,1.67,116618.13,85881.02,3562.23,76003.81,4.55,0.018,6.75,4.91,20110531,16858.42,1.01,7.78,44.68,39.08,7.57,22474.0
603799,华友钴业,小金属,浙江,41.46,5.86,5.93,1375890.75,836729.69,328562.84,288167.81,4.86,1.852,8.92,11.48,20150129,169786.27,2.86,76.19,9723.36,33.25,17.86,52412.0
300393,中来股份,塑料,江苏,33.3,1.21,2.41,619366.06,382561.53,140442.3,173308.56,7.18,1.44,10.75,3.32,20140912,58626.13,2.43,133.68,56.55,23.67,7.97,7486.0
