date,open,close,high,low,volume,code
2017-05-02,9.767,9.906,9.965,9.767,21240.0,601313
2017-05-03,9.886,9.846,9.975,9.787,18518.0,601313
2017-05-04,9.896,9.876,9.955,9.767,14334.0,601313
2017-05-05,9.817,9.787,9.906,9.767,8644.0,601313
2017-05-08,9.679,9.61,9.767,9.57,11833.0,601313
2017-05-09,9.649,9.669,9.718,9.531,12347.0,601313
2017-05-10,9.698,9.57,9.915,9.57,21534.0,601313
2017-05-11,9.5,9.35,9.68,9.17,18193.0,601313
2017-05-12,9.35,9.2,9.36,9.17,12899.0,601313
2017-05-15,9.23,9.15,9.33,9.08,14538.0,601313
2017-05-16,9.15,9.23,9.27,8.91,24147.0,601313
2017-05-17,9.25,9.28,9.4,9.2,22621.0,601313
2017-05-18,9.28,9.16,9.33,9.14,20660.0,601313
2017-05-19,9.16,9.07,9.2,9.0,12378.0,601313
2017-05-22,9.07,8.73,9.11,8.69,27896.0,601313
2017-05-23,8.76,8.36,8.76,8.35,21329.0,601313
2017-05-24,8.31,8.32,8.44,8.19,21949.0,601313
2017-05-25,8.3,8.47,8.54,8.22,18985.0,601313
2017-05-26,8.54,8.47,8.54,8.42,12588.0,601313
2017-05-31,8.53,8.51,8.64,8.51,12626.0,601313
2017-06-01,8.51,8.12,8.51,8.09,20506.0,601313
2017-06-02,8.1,8.29,8.34,7.96,19637.0,601313
2017-06-05,8.29,8.49,8.56,8.28,22888.0,601313
2017-06-06,8.52,8.49,8.52,8.39,10485.0,601313
2017-06-07,8.49,8.68,8.68,8.45,20603.0,601313
2017-06-08,8.7,8.79,8.94,8.7,37060.0,601313
2017-06-09,8.8,8.79,8.83,8.6,29698.0,601313
2017-11-07,9.67,9.67,9.67,9.67,586.0,601313
2017-11-08,10.64,10.64,10.64,10.64,681.0,601313
2017-11-09,11.7,11.7,11.7,11.7,1322.0,601313
2017-11-10,12.87,12.87,12.87,12.87,2278.0,601313
2017-11-13,14.16,14.16,14.16,14.16,1157.0,601313
2017-11-14,15.58,15.58,15.58,15.58,1800.0,601313
2017-11-15,17.14,17.14,17.14,17.14,1848.0,601313
2017-11-16,18.85,18.85,18.85,18.85,2215.0,601313
2017-11-17,20.74,20.74,20.74,20.74,3618.0,601313
2017-11-20,22.81,22.81,22.81,22.81,3837.0,601313
2017-11-21,25.09,25.09,25.09,25.09,4708.0,601313
2017-11-22,27.6,27.6,27.6,27.6,1911.0,601313
2017-11-23,30.36,30.36,30.36,30.36,5211.0,601313
2017-11-24,33.4,33.4,33.4,33.4,8320.0,601313
2017-11-27,36.74,36.74,36.74,36.74,6196.0,601313
2017-11-28,40.41,40.41,40.41,40.41,9674.0,601313
2017-11-29,44.45,44.45,44.45,44.45,5066.0,601313
