date,open,close,high,low,volume,code
2017-05-02,6.69,6.759,6.893,6.67,28333.0,600386
2017-05-03,6.719,6.685,6.769,6.645,22921.0,600386
2017-05-04,6.69,6.734,6.834,6.65,30300.0,600386
2017-05-05,6.665,6.749,6.843,6.665,45178.0,600386
2017-05-08,6.67,6.367,6.754,6.328,51305.0,600386
2017-05-09,6.367,6.402,6.407,6.179,35789.0,600386
2017-05-10,6.377,6.238,6.472,6.224,19830.0,600386
2017-05-11,6.224,6.238,6.328,6.015,32167.0,600386
2017-05-12,6.243,6.288,6.313,6.214,18920.0,600386
2017-05-15,6.283,6.348,6.417,6.258,21283.0,600386
2017-05-16,6.372,6.491,6.496,6.303,30672.0,600386
2017-05-17,6.491,6.541,6.615,6.491,37264.0,600386
2017-05-18,6.541,6.486,6.586,6.477,22965.0,600386
2017-05-19,6.506,6.447,6.526,6.367,20282.0,600386
2017-05-22,6.402,6.556,6.719,6.323,39665.0,600386
2017-05-23,6.556,6.224,6.576,6.164,37530.0,600386
2017-05-24,6.149,6.293,6.298,6.05,20593.0,600386
2017-05-25,6.263,6.318,6.333,6.144,20632.0,600386
2017-05-26,6.348,6.377,6.417,6.328,24545.0,600386
2017-05-31,6.462,6.343,6.531,6.338,22523.0,600386
2017-06-01,6.328,6.164,6.372,6.139,21305.0,600386
2017-06-02,6.174,6.293,6.303,6.149,12147.0,600386
2017-06-05,6.288,6.348,6.372,6.273,15497.0,600386
2017-06-06,6.348,6.397,6.442,6.308,16704.0,600386
2017-06-07,6.392,6.531,6.561,6.367,33194.0,600386
2017-06-08,6.571,6.566,6.744,6.526,46383.0,600386
2017-06-09,6.576,6.6,6.685,6.511,33103.0,600386
2017-06-12,6.571,6.472,6.62,6.452,25779.0,600386
2017-06-13,6.442,6.586,6.605,6.437,27593.0,600386
2017-06-14,6.531,6.566,6.645,6.531,20601.0,600386
2017-06-15,6.6,6.64,6.655,6.556,28728.0,600386
2017-06-16,6.66,6.61,6.665,6.576,20499.0,600386
2017-06-19,6.61,6.64,6.66,6.581,20993.0,600386
2017-06-20,6.64,6.65,6.685,6.615,26070.0,600386
2017-06-21,6.655,6.591,6.66,6.541,29668.0,600386
2017-06-22,6.591,6.496,6.64,6.486,25374.0,600386
2017-06-23,6.437,6.417,6.486,6.278,25589.0,600386
2017-06-26,6.412,6.506,6.511,6.367,19200.0,600386
2017-06-27,6.511,6.531,6.571,6.462,29275.0,600386
2017-06-28,6.501,6.491,6.561,6.472,15951.0,600386
2017-06-29,6.491,6.546,6.62,6.472,20953.0,600386
2017-06-30,6.506,6.596,6.605,6.506,22560.0,600386
2017-07-03,6.615,6.635,6.65,6.596,18554.0,600386
2017-07-04,6.645,6.615,6.66,6.576,17535.0,600386
2017-07-05,6.596,6.685,6.705,6.596,28712.0,600386
2017-07-06,6.695,6.685,6.754,6.64,28781.0,600386
2017-07-07,6.69,6.754,6.754,6.68,39612.0,600386
2017-07-10,6.739,6.71,6.774,6.675,31856.0,600386
2017-07-11,6.71,6.675,6.715,6.605,29965.0,600386
2017-07-12,6.66,6.61,6.675,6.516,24927.0,600386
2017-07-13,6.64,6.6,6.64,6.546,15762.0,600386
2017-07-14,6.615,6.521,6.615,6.511,26987.0,600386
2017-07-17,6.516,6.124,6.516,6.09,51815.0,600386
2017-07-18,6.124,6.194,6.209,6.065,17651.0,600386
2017-07-19,6.194,6.243,6.253,6.139,18645.0,600386
2017-07-20,6.238,6.243,6.308,6.199,20108.0,600386
2017-07-21,6.263,6.278,6.288,6.224,13656.0,600386
2017-07-24,6.273,6.343,6.357,6.243,24677.0,600386
2017-07-25,6.348,6.303,6.353,6.243,17341.0,600386
2017-07-26,6.323,6.273,6.323,6.238,12566.0,600386
2017-07-27,6.273,6.397,6.422,6.253,27919.0,600386
2017-07-28,6.397,6.338,6.417,6.323,27334.0,600386
2017-07-31,6.338,6.392,6.432,6.288,23736.0,600386
2017-08-01,6.392,6.556,6.581,6.353,46006.0,600386
2017-08-02,6.551,6.457,6.586,6.437,41622.0,600386
