date,open,close,high,low,volume,code
2017-09-13,8.84,10.61,10.61,8.84,281.0,603648
2017-09-14,11.67,11.67,11.67,11.67,118.0,603648
2017-09-15,12.84,12.84,12.84,12.84,161.0,603648
2017-09-18,14.12,14.12,14.12,14.12,297.0,603648
2017-09-19,15.53,15.53,15.53,15.53,485.0,603648
2017-09-20,17.08,17.08,17.08,17.08,1027.0,603648
2017-09-21,18.79,18.79,18.79,18.79,1986.0,603648
2017-09-22,20.67,20.67,20.67,20.67,3060.0,603648
2017-09-25,22.74,22.74,22.74,22.74,3959.0,603648
2017-09-26,25.01,25.01,25.01,25.01,25625.0,603648
2017-09-27,25.9,27.51,27.51,25.45,580570.0,603648
2017-09-28,28.23,26.39,30.18,26.23,520296.0,603648
2017-09-29,25.78,24.82,27.5,23.9,400882.0,603648
2017-10-09,24.2,24.03,24.97,23.08,292749.0,603648
2017-10-10,24.0,24.35,24.88,23.8,256441.0,603648
2017-10-11,24.55,25.95,26.7,24.37,374046.0,603648
2017-10-12,25.54,23.7,26.1,23.5,293154.0,603648
2017-10-13,24.0,23.49,24.45,23.1,200657.0,603648
2017-10-16,24.5,23.52,25.0,23.5,174863.0,603648
2017-10-17,22.22,24.09,24.8,22.03,231334.0,603648
2017-10-18,23.51,22.87,23.85,22.6,169196.0,603648
2017-10-19,22.51,25.16,25.16,22.35,186747.0,603648
2017-10-20,27.68,27.68,27.68,27.68,25257.0,603648
2017-10-23,30.45,30.45,30.45,30.45,9445.0,603648
2017-10-24,33.5,33.4,33.5,32.41,712205.0,603648
2017-10-25,31.0,30.41,32.54,30.13,544673.0,603648
2017-10-26,30.0,30.03,31.38,29.6,410513.0,603648
2017-10-27,29.27,28.33,29.98,27.95,347346.0,603648
2017-10-30,28.3,27.48,29.5,27.26,266227.0,603648
2017-10-31,27.6,30.23,30.23,27.18,367459.0,603648
2017-11-01,29.0,29.03,29.66,28.66,322112.0,603648
2017-11-02,28.47,29.59,30.42,28.1,296580.0,603648
2017-11-03,29.15,30.03,30.93,28.92,295044.0,603648
2017-11-06,29.8,29.34,30.47,28.6,200069.0,603648
2017-11-07,30.27,29.35,31.39,29.05,277718.0,603648
2017-11-08,28.21,30.75,31.29,28.21,341271.0,603648
2017-11-09,30.3,30.53,31.5,30.06,263061.0,603648
2017-11-10,30.28,29.89,31.28,29.83,207842.0,603648
2017-11-13,30.8,30.0,32.0,29.55,220357.0,603648
2017-11-14,29.5,31.7,32.28,29.21,395600.0,603648
2017-11-15,31.12,29.54,31.16,29.5,244537.0,603648
2017-11-16,28.5,27.46,29.28,27.21,196886.0,603648
2017-11-17,27.28,24.71,27.28,24.71,185566.0,603648
2017-11-20,24.55,25.21,25.49,23.0,131502.0,603648
2017-11-21,25.0,24.21,25.31,23.48,120484.0,603648
2017-11-22,24.0,23.23,24.4,23.03,108673.0,603648
2017-11-23,23.32,22.19,23.86,22.05,90686.0,603648
2017-11-24,22.22,21.54,22.65,21.3,80182.0,603648
2017-11-27,21.54,21.64,22.22,21.01,77667.0,603648
2017-11-28,21.41,21.86,21.97,21.31,61814.0,603648
2017-11-29,21.93,21.12,22.02,20.45,91758.0,603648
