,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000519,中兵红箭,-9.9511,8013.00,3124.47,4888.53,日跌幅偏离值达到7%的前五只证券,0.05,0.07,2017-08-02
1,000615,京汉股份,9.9671,29993.12,15305.46,14687.66,日涨幅偏离值达到7%的前五只证券,0.11,0.11,2017-08-02
2,000615,京汉股份,9.9671,36031.95,20992.35,15039.59,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.12,0.09,2017-08-02
3,000615,京汉股份,9.9671,29993.12,15305.46,14687.66,日换手率达到20%的前五只证券,0.11,0.11,2017-08-02
4,000635,英力特,10.0101,10688.29,8040.59,2647.70,日涨幅偏离值达到7%的前五只证券,0.13,0.04,2017-08-02
5,000762,西藏矿业,9.9939,17701.85,12790.00,4911.85,日涨幅偏离值达到7%的前五只证券,0.15,0.06,2017-08-02
6,000932,*ST华菱,4.9658,37011.62,25550.87,11460.75,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,0.19,0.09,2017-08-02
7,002182,云海金属,-4.2274,22612.56,8335.07,14277.49,日换手率达到20%的前五只证券,0.05,0.08,2017-08-02
8,002192,融捷股份,8.6887,24431.71,15183.77,9247.94,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.06,2017-08-02
9,002246,北化股份,-10.0061,5889.41,2011.34,3878.07,日跌幅偏离值达到7%的前五只证券,0.03,0.06,2017-08-02
10,002417,三元达,-9.9642,4094.81,1267.81,2827.00,日跌幅偏离值达到7%的前五只证券,0.40,0.90,2017-08-02
11,002457,青龙管业,9.9691,20662.66,13165.22,7497.44,日涨幅偏离值达到7%的前五只证券,0.13,0.07,2017-08-02
12,002457,青龙管业,9.9691,27311.86,18626.63,8685.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.11,0.05,2017-08-02
13,002457,青龙管业,9.9691,20662.66,13165.22,7497.44,日换手率达到20%的前五只证券,0.13,0.07,2017-08-02
14,002497,雅化集团,9.9846,57408.00,35847.35,21560.65,日涨幅偏离值达到7%的前五只证券,0.14,0.09,2017-08-02
15,002610,爱康科技,9.8361,7232.38,4521.22,2711.16,日涨幅偏离值达到7%的前五只证券,0.17,0.10,2017-08-02
16,002753,永东股份,-4.3416,9098.20,3569.68,5528.51,日换手率达到20%的前五只证券,0.05,0.08,2017-08-02
17,002797,第一创业,10.0402,54553.51,33700.94,20852.57,日涨幅偏离值达到7%的前五只证券,0.08,0.05,2017-08-02
18,002797,第一创业,10.0402,85217.09,46430.03,38787.06,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.05,2017-08-02
19,002805,丰元股份,9.9874,16534.08,8391.15,8142.93,日涨幅偏离值达到7%的前五只证券,0.27,0.26,2017-08-02
20,002805,丰元股份,9.9874,18840.01,9986.48,8853.53,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.28,0.24,2017-08-02
21,002807,江阴银行,7.2742,19707.44,4122.51,15584.94,日换手率达到20%的前五只证券,0.05,0.17,2017-08-02
22,002827,高争民爆,-3.5032,5040.92,3204.72,1836.20,日换手率达到20%的前五只证券,0.09,0.05,2017-08-02
23,002888,惠威科技,10.0119,1167.57,1141.87,25.70,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.02,2017-08-02
24,002889,东方嘉盛,10.0049,38.15,29.99,8.16,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.27,2017-08-02
25,002890,弘宇股份,43.9655,22.67,18.08,4.59,无价格涨跌幅限制的证券,1.00,0.25,2017-08-02
26,300137,先河环保,4.5815,14932.29,7482.42,7449.87,日换手率达到20%的前五只证券,0.05,0.05,2017-08-02
27,300148,天舟文化,-9.9929,15583.34,6175.12,9408.23,日跌幅偏离值达到7%的前五只证券,0.12,0.18,2017-08-02
28,300344,太空板业,10.044,12722.58,9183.42,3539.16,日涨幅偏离值达到7%的前五只证券,0.21,0.08,2017-08-02
29,300372,欣泰退,-9.8039,645.95,251.37,394.58,退市整理期,0.23,0.37,2017-08-02
30,300423,鲁亿通,-6.0403,15118.52,6964.39,8154.13,连续三个交易日内，跌幅偏离值累计达到20%的证券,0.19,0.22,2017-08-02
31,300582,英飞特,-9.9894,5252.17,968.88,4283.29,日跌幅偏离值达到7%的前五只证券,0.08,0.36,2017-08-02
32,300619,金银河,9.9897,5391.96,3890.27,1501.69,日涨幅偏离值达到7%的前五只证券,0.24,0.09,2017-08-02
33,300649,杭州园林,5.2121,5460.07,3314.93,2145.14,日换手率达到20%的前五只证券,0.09,0.06,2017-08-02
34,300666,江丰电子,1.9601,7704.77,5064.86,2639.91,日换手率达到20%的前五只证券,0.15,0.08,2017-08-02
35,300671,富满电子,-1.9048,2999.00,1783.11,1215.89,日换手率达到20%的前五只证券,0.11,0.08,2017-08-02
36,300675,建科院,9.9759,240.44,230.71,9.73,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.04,2017-08-02
37,300676,华大基因,9.9951,709.31,674.59,34.72,日涨幅偏离值达到7%的前五只证券,1.00,0.05,2017-08-02
38,300676,华大基因,9.9951,1508.09,1466.22,41.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.03,2017-08-02
39,300678,中科信息,10.0219,24.59,19.42,5.18,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.27,2017-08-02
40,300679,电连技术,10.0028,15996.59,13590.31,2406.28,日涨幅偏离值达到7%的前五只证券,0.12,0.02,2017-08-02
41,300679,电连技术,10.0028,15996.59,13590.31,2406.28,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.12,0.02,2017-08-02
42,300679,电连技术,10.0028,15996.59,13590.31,2406.28,日换手率达到20%的前五只证券,0.12,0.02,2017-08-02
43,300680,隆盛科技,9.9851,102.79,95.12,7.67,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.08,2017-08-02
44,300681,英搏尔,10.0025,5152.16,4505.19,646.96,日涨幅偏离值达到7%的前五只证券,0.46,0.07,2017-08-02
45,300681,英搏尔,10.0025,5561.51,4913.74,647.77,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.48,0.06,2017-08-02
46,300685,艾德生物,44.0115,20.24,14.25,5.99,无价格涨跌幅限制的证券,1.00,0.42,2017-08-02
47,600148,长春一东,-7.6084,6586.91,3113.96,3472.95,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.06,0.06,2017-08-02
48,600792,云煤能源,10.0402,10985.42,9121.91,1863.52,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.26,0.05,2017-08-02
49,600854,春兰股份,-9.9747,25749.39,9361.30,16388.09,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.18,0.32,2017-08-02
50,601619,嘉泽新能,10.0515,119.65,115.38,4.27,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.04,2017-08-02
51,601619,嘉泽新能,10.0515,247.50,238.30,9.20,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.04,2017-08-02
52,603063,禾望电气,10.0086,559.13,530.82,28.30,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.05,2017-08-02
53,603300,华铁科技,10.0457,7330.35,4119.56,3210.79,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.08,0.07,2017-08-02
54,603320,迪贝电气,-9.9906,27171.53,8901.30,18270.22,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.23,0.46,2017-08-02
55,603320,迪贝电气,-9.9906,27171.53,8901.30,18270.22,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.23,0.46,2017-08-02
56,603505,金石资源,0.8187,11875.40,5254.11,6621.29,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.08,2017-08-02
57,603676,卫信康,-4.1237,6657.77,1765.56,4892.22,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.04,0.12,2017-08-02
58,603730,岱美股份,3.8001,20149.61,10413.11,9736.51,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.06,0.05,2017-08-02
59,603730,岱美股份,3.8001,12825.85,3677.50,9148.35,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.04,0.09,2017-08-02
60,603825,华扬联众,43.9673,48.36,37.80,10.56,无价格涨跌幅限制的证券,1.00,0.28,2017-08-02
61,603860,中公高科,43.9821,47.68,36.43,11.24,无价格涨跌幅限制的证券,1.00,0.31,2017-08-02
