,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000519,中兵红箭,5.7881,10331.03,8276.97,2054.06,日涨幅偏离值达到7%的前五只证券,0.12,0.03,2017-08-11
1,000615,京汉股份,8.6142,29848.69,23399.14,6449.55,日涨幅偏离值达到7%的前五只证券,0.15,0.04,2017-08-11
2,000615,京汉股份,8.6142,29848.69,23399.14,6449.55,日换手率达到20%的前五只证券,0.15,0.04,2017-08-11
3,000717,韶钢松山,-10.0314,14525.38,5268.84,9256.54,日跌幅偏离值达到7%的前五只证券,0.11,0.19,2017-08-11
4,000751,锌业股份,-9.9688,13448.01,4510.43,8937.59,日跌幅偏离值达到7%的前五只证券,0.05,0.10,2017-08-11
5,000807,云铝股份,-10.0149,55508.92,21757.57,33751.35,日跌幅偏离值达到7%的前五只证券,0.10,0.16,2017-08-11
6,000878,云南铜业,-9.9934,21479.35,7680.93,13798.42,日跌幅偏离值达到7%的前五只证券,0.06,0.11,2017-08-11
7,000906,浙商中拓,9.9888,12488.40,7642.27,4846.14,日涨幅偏离值达到7%的前五只证券,0.21,0.14,2017-08-11
8,000933,神火股份,-9.9859,50718.07,24321.97,26396.11,日跌幅偏离值达到7%的前五只证券,0.11,0.12,2017-08-11
9,002068,黑猫股份,-9.9742,13477.07,6321.61,7155.46,日跌幅偏离值达到7%的前五只证券,0.12,0.13,2017-08-11
10,002077,大港股份,8.5066,5630.42,3154.68,2475.74,日涨幅偏离值达到7%的前五只证券,0.12,0.10,2017-08-11
11,002104,恒宝股份,10,17031.94,7345.94,9686.00,日涨幅偏离值达到7%的前五只证券,0.17,0.22,2017-08-11
12,002125,湘潭电化,-10.0216,6508.87,3313.28,3195.59,日跌幅偏离值达到7%的前五只证券,0.11,0.11,2017-08-11
13,002160,常铝股份,-10,7718.55,1757.00,5961.55,日跌幅偏离值达到7%的前五只证券,0.04,0.15,2017-08-11
14,002240,威华股份,-10.0124,10303.11,3581.15,6721.96,日跌幅偏离值达到7%的前五只证券,0.11,0.20,2017-08-11
15,002305,南国置业,10,8418.99,6181.38,2237.61,日涨幅偏离值达到7%的前五只证券,0.24,0.09,2017-08-11
16,002386,天原集团,-9.9613,13918.79,5970.23,7948.56,日跌幅偏离值达到7%的前五只证券,0.12,0.15,2017-08-11
17,002457,青龙管业,4.4643,12680.73,8992.30,3688.43,日换手率达到20%的前五只证券,0.07,0.03,2017-08-11
18,002580,圣阳股份,4.1341,9090.90,3297.78,5793.12,日换手率达到20%的前五只证券,0.05,0.08,2017-08-11
19,002600,江粉磁材,10.0291,12668.83,6849.52,5819.32,日涨幅偏离值达到7%的前五只证券,0.70,0.60,2017-08-11
20,002743,富煌钢构,10.0081,10554.00,6360.27,4193.73,日涨幅偏离值达到7%的前五只证券,0.17,0.11,2017-08-11
21,002743,富煌钢构,10.0081,14141.24,7958.16,6183.09,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.16,0.12,2017-08-11
22,002743,富煌钢构,10.0081,10554.00,6360.27,4193.73,日换手率达到20%的前五只证券,0.17,0.11,2017-08-11
23,002853,皮阿诺,3.9173,6573.10,2818.46,3754.64,日换手率达到20%的前五只证券,0.09,0.12,2017-08-11
24,002890,弘宇股份,0.0644,6245.73,4853.93,1391.80,日换手率达到20%的前五只证券,0.26,0.07,2017-08-11
25,300008,天海防务,10.0121,25605.69,14024.90,11580.79,日涨幅偏离值达到7%的前五只证券,0.26,0.21,2017-08-11
26,300045,华力创通,10.0099,9944.11,7770.01,2174.09,日涨幅偏离值达到7%的前五只证券,0.23,0.06,2017-08-11
