,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000033,新都退,0,1687.29,660.95,1026.34,退市整理期,0.23,0.35,2017-07-04
1,000043,中航地产,8.4242,8311.65,4458.05,3853.60,日涨幅偏离值达到7%的前五只证券,0.22,0.19,2017-07-04
2,000605,渤海股份,4.2784,33092.08,16121.26,16970.82,日换手率达到20%的前五只证券,0.19,0.20,2017-07-04
3,000856,冀东装备,5.7079,26828.66,18429.51,8399.15,日换手率达到20%的前五只证券,0.08,0.04,2017-07-04
4,000859,国风塑业,9.9404,8572.67,6487.19,2085.47,日涨幅偏离值达到7%的前五只证券,0.38,0.12,2017-07-04
5,000916,华北高速,9.9859,31131.18,16903.01,14228.17,日涨幅偏离值达到7%的前五只证券,0.37,0.31,2017-07-04
6,000916,华北高速,9.9859,33641.08,17172.48,16468.61,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.34,0.33,2017-07-04
7,002025,航天电器,-9.98,2759.21,407.87,2351.34,日跌幅偏离值达到7%的前五只证券,0.16,0.93,2017-07-04
8,002161,远望谷,10.049,14207.11,6295.93,7911.18,日涨幅偏离值达到7%的前五只证券,0.15,0.19,2017-07-04
9,002211,宏达新材,10.0236,7115.47,4531.06,2584.41,日涨幅偏离值达到7%的前五只证券,0.29,0.16,2017-07-04
10,002708,光洋股份,9.9567,10096.46,7670.97,2425.48,日涨幅偏离值达到7%的前五只证券,0.40,0.13,2017-07-04
11,002877,智能自控,2.9727,2830.79,1352.13,1478.65,日换手率达到20%的前五只证券,0.06,0.07,2017-07-04
12,002880,卫光生物,-2.1429,8797.09,3059.96,5737.12,日换手率达到20%的前五只证券,0.06,0.12,2017-07-04
13,002881,美格智能,10.0199,248.19,234.36,13.84,日涨幅偏离值达到7%的前五只证券,1.00,0.06,2017-07-04
14,002881,美格智能,10.0199,406.25,392.27,13.99,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.04,2017-07-04
15,002883,中设股份,4.959,7857.09,4536.08,3321.01,日换手率达到20%的前五只证券,0.12,0.09,2017-07-04
16,002885,京泉华,10.0153,123.94,113.13,10.81,日涨幅偏离值达到7%的前五只证券,1.00,0.10,2017-07-04
17,002885,京泉华,10.0153,184.04,170.77,13.27,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.08,2017-07-04
18,002886,沃特股份,9.9893,155.49,146.13,9.36,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.06,2017-07-04
19,300248,新开普,9.9939,12316.35,6373.02,5943.34,日涨幅偏离值达到7%的前五只证券,0.47,0.44,2017-07-04
20,300356,光一科技,10.0114,4634.54,3302.37,1332.17,日涨幅偏离值达到7%的前五只证券,0.34,0.14,2017-07-04
21,300566,激智科技,10.0122,3998.35,2847.90,1150.45,日涨幅偏离值达到7%的前五只证券,0.30,0.12,2017-07-04
22,300633,开立医疗,10.0098,8841.49,3357.09,5484.41,日涨幅偏离值达到7%的前五只证券,0.08,0.13,2017-07-04
23,300633,开立医疗,10.0098,12225.93,6632.19,5593.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.13,0.11,2017-07-04
24,300633,开立医疗,10.0098,8841.49,3357.09,5484.41,日换手率达到20%的前五只证券,0.08,0.13,2017-07-04
25,300657,弘信电子,6.0992,19097.58,12531.31,6566.27,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.09,0.05,2017-07-04
26,300657,弘信电子,6.0992,8891.05,4616.63,4274.42,日换手率达到20%的前五只证券,0.10,0.09,2017-07-04
27,300662,科锐国际,-2.4203,6737.79,2521.18,4216.60,日换手率达到20%的前五只证券,0.06,0.10,2017-07-04
28,300666,江丰电子,10,2598.92,2563.34,35.57,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.01,2017-07-04
29,300667,必创科技,10,11155.80,8078.75,3077.05,日涨幅偏离值达到7%的前五只证券,0.18,0.07,2017-07-04
30,300667,必创科技,10,11155.80,8078.75,3077.05,日换手率达到20%的前五只证券,0.18,0.07,2017-07-04
31,300668,杰恩设计,2.6375,3886.20,2068.84,1817.36,日换手率达到20%的前五只证券,0.08,0.07,2017-07-04
32,300669,沪宁股份,10.0209,34.06,30.82,3.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.11,2017-07-04
33,603286,日盈电子,9.988,116.42,107.23,9.20,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.09,2017-07-04
34,603326,我乐家居,-3.7931,7718.33,3344.17,4374.16,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.09,2017-07-04
35,603335,迪生力,10.0244,512.15,493.88,18.27,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.04,2017-07-04
36,603380,易德龙,9.985,10372.67,6178.54,4194.13,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.08,0.06,2017-07-04
37,603617,君禾股份,10.0311,4.22,2.11,2.11,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,1.00,2017-07-04
38,603668,天马科技,3.7631,13562.40,6497.93,7064.47,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.09,0.09,2017-07-04
39,603679,华体科技,8.5829,6547.95,2775.17,3772.78,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.08,2017-07-04
40,603801,志邦股份,10.0054,219.79,195.56,24.23,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.12,2017-07-04
41,603938,三孚股份,10.0108,147.78,137.61,10.16,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.07,2017-07-04
