,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000819,岳阳兴长,10.0209,2053.83,1028.75,1025.08,日涨幅偏离值达到7%的前五只证券,0.13,0.13,2017-07-25
1,000912,泸天化,6.7684,14584.94,8406.12,6178.82,日涨幅偏离值达到7%的前五只证券,0.10,0.07,2017-07-25
2,000962,东方钽业,6.8756,3315.59,1573.17,1742.41,日涨幅偏离值达到7%的前五只证券,0.10,0.11,2017-07-25
3,002182,云海金属,10.0096,20505.09,11881.87,8623.23,日涨幅偏离值达到7%的前五只证券,0.25,0.18,2017-07-25
4,002192,融捷股份,-9.9837,11922.07,6164.70,5757.37,日跌幅偏离值达到7%的前五只证券,0.19,0.17,2017-07-25
5,002225,濮耐股份,5.0848,18181.72,5752.73,12428.99,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.06,0.13,2017-07-25
6,002340,格林美,9.9526,55029.56,30747.57,24281.98,日涨幅偏离值达到7%的前五只证券,0.09,0.07,2017-07-25
7,002346,柘中股份,10,12997.92,11087.37,1910.55,日涨幅偏离值达到7%的前五只证券,0.30,0.05,2017-07-25
8,002421,达实智能,-7.6412,7123.80,1384.58,5739.22,日跌幅偏离值达到7%的前五只证券,0.04,0.17,2017-07-25
9,002450,康得新,-10,40727.26,21302.20,19425.06,日跌幅偏离值达到7%的前五只证券,0.15,0.14,2017-07-25
10,002695,煌上煌,10.0246,13405.45,10577.52,2827.93,日涨幅偏离值达到7%的前五只证券,0.13,0.04,2017-07-25
11,002783,凯龙股份,10.018,13025.84,7392.95,5632.89,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.33,0.25,2017-07-25
12,002809,红墙股份,0.4574,3215.47,1538.03,1677.43,日换手率达到20%的前五只证券,0.05,0.05,2017-07-25
13,002836,新宏泽,10,10309.35,7709.75,2599.61,日涨幅偏离值达到7%的前五只证券,0.29,0.10,2017-07-25
14,002836,新宏泽,10,10309.35,7709.75,2599.61,日换手率达到20%的前五只证券,0.29,0.10,2017-07-25
15,002878,元隆雅图,2.8401,5684.93,1126.84,4558.09,日换手率达到20%的前五只证券,0.05,0.22,2017-07-25
16,002882,金龙羽,10.0139,1113.27,1084.41,28.86,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.03,2017-07-25
17,002883,中设股份,-1.4395,2653.02,1207.94,1445.09,日换手率达到20%的前五只证券,0.09,0.11,2017-07-25
18,300078,思创医惠,10,8336.72,6239.84,2096.88,日涨幅偏离值达到7%的前五只证券,0.20,0.07,2017-07-25
19,300268,佳沃股份,-7.73,17641.06,9857.74,7783.31,日跌幅偏离值达到7%的前五只证券,0.16,0.13,2017-07-25
20,300372,欣泰退,6.8323,1673.15,801.59,871.56,退市整理期,0.27,0.29,2017-07-25
21,300443,金雷风电,10.0102,5346.63,4210.59,1136.03,日涨幅偏离值达到7%的前五只证券,0.47,0.13,2017-07-25
22,300467,迅游科技,10.0126,25470.32,9458.74,16011.57,日涨幅偏离值达到7%的前五只证券,0.29,0.49,2017-07-25
23,300477,合纵科技,-7.0316,5486.10,1785.70,3700.41,日跌幅偏离值达到7%的前五只证券,0.15,0.32,2017-07-25
24,300506,名家汇,10.0126,3756.82,2109.84,1646.97,日涨幅偏离值达到7%的前五只证券,0.07,0.05,2017-07-25
25,300629,新劲刚,5.873,4354.42,1387.54,2966.87,日换手率达到20%的前五只证券,0.07,0.16,2017-07-25
26,300633,开立医疗,2.4161,4037.89,2113.52,1924.37,日换手率达到20%的前五只证券,0.09,0.08,2017-07-25
27,300649,杭州园林,3.1092,7944.10,2665.04,5279.06,日换手率达到20%的前五只证券,0.06,0.12,2017-07-25
28,300666,江丰电子,3.2246,15451.34,7449.62,8001.72,日换手率达到20%的前五只证券,0.10,0.11,2017-07-25
29,300672,国科微,1.1458,8761.59,4431.85,4329.74,日换手率达到20%的前五只证券,0.15,0.14,2017-07-25
30,300676,华大基因,10.0029,96.82,86.87,9.95,日涨幅偏离值达到7%的前五只证券,1.00,0.11,2017-07-25
31,300680,隆盛科技,44.0092,13.97,10.85,3.12,无价格涨跌幅限制的证券,1.00,0.29,2017-07-25
32,300681,英搏尔,43.9863,33.83,27.40,6.43,无价格涨跌幅限制的证券,1.00,0.23,2017-07-25
33,600191,华资实业,9.1843,40115.61,19339.13,20776.48,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.06,0.06,2017-07-25
34,600516,方大炭素,6.0162,102355.68,41333.93,61021.76,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,0.07,0.10,2017-07-25
35,600755,厦门国贸,2.8,83779.28,39400.21,44379.07,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.06,0.06,2017-07-25
36,600759,洲际油气,-7.2797,11931.29,2526.56,9404.72,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.08,0.31,2017-07-25
37,601001,大同煤业,7.0755,19914.83,13765.73,6149.11,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.12,0.05,2017-07-25
38,601619,嘉泽新能,10.0457,6.65,5.45,1.21,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.22,2017-07-25
39,601619,嘉泽新能,10.0457,18.09,15.56,2.53,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.16,2017-07-25
40,603069,海汽集团,10.0503,4939.50,3564.67,1374.83,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.38,0.15,2017-07-25
41,603305,旭升股份,9.9929,50543.01,33314.43,17228.58,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.21,0.11,2017-07-25
42,603305,旭升股份,9.9929,37153.91,22233.96,14919.95,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.25,0.17,2017-07-25
43,603387,基蛋生物,-1.9387,5879.49,2980.62,2898.87,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.06,2017-07-25
44,603595,东尼电子,8.1417,22559.61,17010.04,5549.56,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.14,0.05,2017-07-25
45,603595,东尼电子,8.1417,9933.70,6038.74,3894.96,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.13,0.08,2017-07-25
46,603676,卫信康,10.0457,9.66,5.32,4.34,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.82,2017-07-25
