,code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
0,000002,万科A,9.1176,84094.94,51972.38,32122.56,日涨幅偏离值达到7%的前五只证券,0.16,0.10,2017-09-07
1,000048,康达尔,6.7797,2451.69,1217.66,1234.03,日涨幅偏离值达到7%的前五只证券,0.25,0.25,2017-09-07
2,000671,阳光城,9.9839,58209.08,31255.25,26953.84,日涨幅偏离值达到7%的前五只证券,0.30,0.26,2017-09-07
3,002021,中捷资源,10.0162,6950.44,3406.32,3544.12,日涨幅偏离值达到7%的前五只证券,0.17,0.18,2017-09-07
4,002056,横店东磁,10.0529,48669.86,26750.69,21919.17,日涨幅偏离值达到7%的前五只证券,0.15,0.12,2017-09-07
5,002135,东南网架,10.0233,15919.57,10778.74,5140.82,日涨幅偏离值达到7%的前五只证券,0.21,0.10,2017-09-07
6,002795,永和智控,10.0138,7573.74,5740.59,1833.15,日涨幅偏离值达到7%的前五只证券,0.33,0.11,2017-09-07
7,002825,纳尔股份,4.2899,5817.66,1885.57,3932.08,日换手率达到20%的前五只证券,0.05,0.11,2017-09-07
8,002830,名雕股份,4.4593,13741.30,5777.49,7963.82,日换手率达到20%的前五只证券,0.16,0.22,2017-09-07
9,002853,皮阿诺,-2.8265,25940.04,6873.65,19066.40,日换手率达到20%的前五只证券,0.05,0.14,2017-09-07
10,002877,智能自控,1.7921,3328.40,1672.97,1655.43,日换手率达到20%的前五只证券,0.05,0.05,2017-09-07
11,002881,美格智能,10,7259.86,4089.55,3170.31,日换手率达到20%的前五只证券,0.08,0.06,2017-09-07
12,002881,美格智能,10,7259.86,4089.55,3170.31,日涨幅偏离值达到7%的前五只证券,0.08,0.06,2017-09-07
13,002895,川恒股份,10.0092,774.53,753.63,20.89,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.00,0.03,2017-09-07
14,002897,意华股份,44.0039,37.81,30.37,7.45,无价格涨跌幅限制的证券,1.00,0.25,2017-09-07
15,300088,长信科技,-7.8021,53027.62,20489.28,32538.33,日跌幅偏离值达到7%的前五只证券,0.08,0.13,2017-09-07
16,300221,银禧科技,9.9924,17825.18,12128.82,5696.36,日涨幅偏离值达到7%的前五只证券,0.26,0.12,2017-09-07
17,300493,润欣科技,10.0328,27636.97,14404.57,13232.40,日涨幅偏离值达到7%的前五只证券,0.25,0.23,2017-09-07
18,300522,世名科技,9.9964,6989.70,4580.77,2408.93,日涨幅偏离值达到7%的前五只证券,0.17,0.09,2017-09-07
19,300543,朗科智能,10.008,7128.92,6161.10,967.82,日涨幅偏离值达到7%的前五只证券,0.27,0.04,2017-09-07
20,300609,汇纳科技,-4.4278,6817.91,4235.42,2582.49,日振幅值达到15%的前五只证券,0.10,0.06,2017-09-07
21,300635,达安股份,7.3728,9908.42,6896.28,3012.14,日换手率达到20%的前五只证券,0.15,0.07,2017-09-07
22,300649,杭州园林,6.0146,19488.85,12254.75,7234.10,日换手率达到20%的前五只证券,0.16,0.09,2017-09-07
23,300663,科蓝软件,10.0035,13205.34,9098.82,4106.52,日涨幅偏离值达到7%的前五只证券,0.17,0.08,2017-09-07
24,300663,科蓝软件,10.0035,13205.34,9098.82,4106.52,日换手率达到20%的前五只证券,0.17,0.08,2017-09-07
25,300667,必创科技,-8.5487,8833.06,2918.79,5914.27,日跌幅偏离值达到7%的前五只证券,0.11,0.21,2017-09-07
26,300672,国科微,10.0114,11387.80,7282.05,4105.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.22,0.12,2017-09-07
27,300688,创业黑马,3.6427,23024.52,9177.07,13847.44,日换手率达到20%的前五只证券,0.10,0.16,2017-09-07
28,300692,中环环保,10.0076,4961.01,4332.91,628.10,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.85,0.12,2017-09-07
29,300693,盛弘股份,2.7778,8677.15,4320.43,4356.72,日换手率达到20%的前五只证券,0.06,0.06,2017-09-07
30,300693,盛弘股份,2.7778,8677.15,4320.43,4356.72,日振幅值达到15%的前五只证券,0.06,0.06,2017-09-07
31,300697,电工合金,44.0367,15.90,13.06,2.85,无价格涨跌幅限制的证券,1.00,0.22,2017-09-07
32,600055,万东医疗,10.0351,19927.29,13679.43,6247.86,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.39,0.18,2017-09-07
33,600277,亿利洁能,-7.8306,42003.03,6936.92,35066.10,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.08,0.39,2017-09-07
34,600496,精工钢构,10.0352,22404.39,15467.92,6936.47,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.11,0.05,2017-09-07
35,600496,精工钢构,10.0352,41512.87,25815.65,15697.22,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.07,0.04,2017-09-07
36,601326,秦港股份,1.2909,40495.73,19105.53,21390.20,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.06,2017-09-07
37,601949,中国出版,7.3374,32048.38,18630.13,13418.25,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.06,0.05,2017-09-07
38,603079,圣达生物,10.0089,27175.39,20258.38,6917.02,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.27,0.09,2017-09-07
39,603127,昭衍新药,9.9974,612.00,580.46,31.54,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.05,2017-09-07
40,603133,碳元科技,9.9,23335.73,16623.17,6712.56,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.09,0.04,2017-09-07
41,603181,皇马科技,10.0028,26164.26,12554.27,13609.99,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.07,0.07,2017-09-07
42,603183,建研院,10.0093,33.83,22.45,11.38,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.51,2017-09-07
43,603500,祥和实业,10.0218,20.20,11.36,8.84,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,1.00,0.78,2017-09-07
44,603500,祥和实业,10.0218,41.45,29.50,11.94,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,1.00,0.40,2017-09-07
45,603527,众源新材,44.009,38.41,28.86,9.55,无价格涨跌幅限制的证券,1.00,0.33,2017-09-07
46,603603,博天环境,8.1288,18289.38,12434.86,5854.52,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.12,0.06,2017-09-07
