date,open,close,high,low,volume,code
2017-05-05,0.881,0.894,0.905,0.881,13176.0,900909
2017-05-12,0.904,0.858,0.904,0.843,13871.0,900909
2017-05-19,0.865,0.885,0.891,0.854,10505.0,900909
2017-05-26,0.883,0.89,0.9,0.852,18417.0,900909
2017-06-02,0.89,0.894,0.906,0.883,9530.0,900909
2017-06-09,0.902,0.899,0.905,0.879,13873.0,900909
2017-06-16,0.893,0.914,0.919,0.89,17900.0,900909
2017-06-23,0.914,0.92,0.927,0.908,17804.0,900909
2017-06-30,0.926,0.923,0.931,0.915,14194.0,900909
2017-07-07,0.923,0.93,0.933,0.922,8266.0,900909
2017-07-14,0.93,0.918,0.931,0.913,11848.0,900909
2017-07-21,0.918,0.918,0.924,0.901,15127.0,900909
2017-07-28,0.923,0.938,0.938,0.913,23091.0,900909
2017-08-04,0.939,0.956,0.967,0.936,36852.0,900909
2017-08-11,0.956,0.962,0.993,0.951,42989.0,900909
2017-08-18,0.962,0.985,0.996,0.961,34381.0,900909
2017-08-25,0.98,0.971,0.988,0.958,23743.0,900909
2017-09-01,0.972,0.972,0.988,0.965,25325.0,900909
2017-09-08,0.97,0.987,0.995,0.961,33996.0,900909
2017-09-15,0.987,0.997,1.002,0.985,37709.0,900909
2017-09-22,0.994,0.984,1.005,0.976,24190.0,900909
2017-09-29,0.98,0.989,0.989,0.961,16566.0,900909
2017-10-13,0.993,0.996,1.0,0.988,16980.0,900909
2017-10-20,0.999,0.964,1.0,0.956,21924.0,900909
2017-10-27,0.964,0.969,0.976,0.96,8493.0,900909
2017-11-03,0.958,0.935,0.969,0.932,17084.0,900909
2017-11-10,0.936,0.932,0.936,0.911,13657.0,900909
2017-11-17,0.929,0.919,0.94,0.919,14704.0,900909
2017-11-24,0.925,0.914,0.925,0.907,8794.0,900909
2017-11-29,0.918,0.909,0.918,0.905,4526.0,900909
