date,open,close,high,low,volume,code
2017-05-05,4.36,4.14,4.4,4.14,607856.0,601918
2017-05-12,4.22,4.02,4.22,3.92,773342.0,601918
2017-05-19,4.04,4.08,4.14,3.98,687449.0,601918
2017-05-26,4.08,3.96,4.09,3.69,815703.0,601918
2017-06-02,3.97,3.86,4.01,3.76,378965.0,601918
2017-06-09,3.9,4.0,4.01,3.86,591545.0,601918
2017-06-16,3.98,4.06,4.1,3.88,761842.0,601918
2017-06-23,4.05,4.12,4.47,4.05,1427514.0,601918
2017-06-30,4.12,4.33,4.38,4.11,1201862.0,601918
2017-07-07,4.26,4.5,4.54,4.21,1471019.0,601918
2017-07-14,4.51,4.46,4.67,4.28,1678737.0,601918
2017-07-21,4.47,4.93,5.12,4.16,3939405.0,601918
2017-07-28,4.96,4.77,5.07,4.61,2333280.0,601918
2017-08-04,4.75,4.9,5.18,4.75,3160945.0,601918
2017-08-11,4.87,4.81,5.3,4.74,4145333.0,601918
2017-08-18,4.8,4.78,4.87,4.63,1847553.0,601918
2017-08-25,4.8,4.68,4.89,4.54,1663524.0,601918
2017-09-01,4.65,4.88,5.04,4.59,2191880.0,601918
2017-09-08,4.9,4.88,5.05,4.79,2406870.0,601918
2017-09-15,4.84,4.74,5.05,4.7,1861550.0,601918
2017-09-22,4.71,4.58,4.77,4.55,932572.0,601918
2017-09-29,4.58,4.5,4.59,4.47,726460.0,601918
2017-10-13,4.54,4.43,4.55,4.36,973396.0,601918
2017-10-20,4.43,4.2,4.43,4.13,808128.0,601918
2017-10-27,4.21,4.18,4.27,4.12,638949.0,601918
2017-11-03,4.18,3.89,4.18,3.86,781832.0,601918
2017-11-10,3.9,3.99,4.09,3.88,784538.0,601918
2017-11-17,3.98,3.87,4.18,3.85,1125668.0,601918
2017-11-24,3.87,3.82,3.9,3.74,705972.0,601918
2017-11-29,3.82,3.94,3.98,3.8,441096.0,601918
