date,open,close,high,low,volume,code
2017-05-05,9.744,9.551,10.441,9.538,1489779.0,300355
2017-05-12,9.694,9.395,9.949,8.928,1585294.0,300355
2017-05-19,9.464,9.713,10.18,9.096,1722891.0,300355
2017-05-26,9.582,8.735,9.738,8.424,1444043.0,300355
2017-06-02,8.891,8.43,9.015,8.1,635369.0,300355
2017-06-09,8.43,8.934,9.04,8.386,1021717.0,300355
2017-06-16,8.941,9.39,9.738,8.847,1227615.0,300355
2017-06-23,9.41,10.55,10.85,9.4,2927473.0,300355
2017-06-30,10.51,10.74,11.03,10.39,2731945.0,300355
2017-07-07,10.62,11.16,11.29,10.24,3044036.0,300355
2017-07-14,11.04,11.23,11.55,10.3,2875447.0,300355
2017-07-21,10.8,11.94,11.99,10.18,3910481.0,300355
2017-07-28,11.9,11.18,12.0,10.91,3500560.0,300355
2017-08-04,11.18,10.4,11.48,10.38,2815188.0,300355
2017-08-11,10.42,10.32,10.98,10.29,2176151.0,300355
2017-08-18,10.35,10.99,11.24,10.34,2268991.0,300355
2017-08-25,11.0,11.38,11.57,10.86,2613111.0,300355
2017-09-01,11.37,11.49,11.95,11.24,2765738.0,300355
2017-09-08,11.5,11.07,11.67,10.98,2158657.0,300355
2017-09-15,11.06,12.33,12.58,10.97,4093107.0,300355
2017-09-22,12.29,12.09,12.85,11.75,3939585.0,300355
2017-09-29,12.15,12.91,12.95,11.72,3242283.0,300355
2017-10-13,13.0,14.2,14.2,12.75,4441190.0,300355
2017-10-20,14.6,13.76,14.69,13.06,4941745.0,300355
2017-10-27,13.77,14.23,15.06,13.74,3625235.0,300355
2017-11-03,14.16,13.05,14.65,12.93,3100107.0,300355
2017-11-10,13.0,12.27,13.15,11.88,4555844.0,300355
2017-11-17,12.26,11.99,13.23,11.95,4419340.0,300355
2017-11-24,11.8,12.21,12.76,11.4,2422184.0,300355
2017-11-29,12.18,13.02,13.07,11.89,2061605.0,300355
