date,open,close,high,low,volume,code
2017-05-12,0.68,0.653,0.71,0.634,58691.0,900901
2017-05-19,0.658,0.664,0.672,0.638,26041.0,900901
2017-05-26,0.668,0.652,0.668,0.623,18937.0,900901
2017-06-02,0.665,0.642,0.665,0.634,10403.0,900901
2017-06-09,0.655,0.667,0.669,0.638,15978.0,900901
2017-06-16,0.662,0.685,0.69,0.655,22087.0,900901
2017-06-21,0.691,0.686,0.691,0.681,6812.0,900901
2017-07-07,0.703,0.691,0.717,0.684,18288.0,900901
2017-07-14,0.696,0.679,0.696,0.679,15155.0,900901
2017-07-21,0.686,0.658,0.686,0.632,20173.0,900901
2017-07-28,0.661,0.672,0.674,0.648,14414.0,900901
2017-08-04,0.668,0.692,0.708,0.668,36725.0,900901
2017-08-11,0.685,0.696,0.711,0.685,34121.0,900901
2017-08-18,0.693,0.704,0.71,0.692,23765.0,900901
2017-08-25,0.701,0.7,0.707,0.691,22427.0,900901
2017-09-01,0.7,0.712,0.713,0.7,29346.0,900901
2017-09-08,0.712,0.725,0.735,0.704,35014.0,900901
2017-09-15,0.731,0.726,0.736,0.722,36839.0,900901
2017-09-22,0.73,0.728,0.734,0.721,24597.0,900901
2017-09-29,0.73,0.735,0.735,0.722,27381.0,900901
2017-10-13,0.739,0.77,0.775,0.738,74834.0,900901
2017-10-20,0.768,0.74,0.77,0.73,55210.0,900901
2017-10-27,0.735,0.744,0.747,0.732,20175.0,900901
2017-11-03,0.734,0.706,0.742,0.7,43563.0,900901
2017-11-10,0.705,0.709,0.713,0.688,21544.0,900901
2017-11-17,0.706,0.686,0.711,0.678,36937.0,900901
2017-11-24,0.68,0.674,0.686,0.668,18835.0,900901
2017-11-29,0.674,0.669,0.674,0.661,4877.0,900901
