date,open,close,high,low,volume,code
2017-05-05,3.755,3.764,3.784,3.716,2575578.0,601818
2017-05-12,3.745,3.872,3.881,3.725,3596734.0,601818
2017-05-19,3.872,3.755,3.901,3.745,3529048.0,601818
2017-05-26,3.755,3.872,3.95,3.725,6984040.0,601818
2017-06-02,3.872,3.93,3.959,3.862,3695075.0,601818
2017-06-09,3.911,3.891,3.92,3.823,5290922.0,601818
2017-06-16,3.881,3.833,3.901,3.823,3165354.0,601818
2017-06-23,3.842,3.901,3.95,3.833,5047012.0,601818
2017-06-30,3.891,3.95,3.969,3.891,5226761.0,601818
2017-07-07,3.94,3.95,3.98,3.901,4031775.0,601818
2017-07-14,3.94,4.18,4.18,3.93,8357433.0,601818
2017-07-21,4.19,4.26,4.47,4.19,13254544.0,601818
2017-07-28,4.26,4.23,4.37,4.2,8760410.0,601818
2017-08-04,4.23,4.19,4.33,4.18,7112242.0,601818
2017-08-11,4.19,4.1,4.21,4.03,5577543.0,601818
2017-08-18,4.08,4.1,4.14,4.05,4927107.0,601818
2017-08-25,4.09,4.21,4.21,4.05,6902549.0,601818
2017-09-01,4.22,4.15,4.32,4.13,8554471.0,601818
2017-09-08,4.15,4.15,4.25,4.14,4681726.0,601818
2017-09-15,4.17,4.11,4.19,4.08,4587750.0,601818
2017-09-22,4.1,4.12,4.14,4.08,3719566.0,601818
2017-09-29,4.1,4.05,4.13,4.04,4139099.0,601818
2017-10-13,4.15,4.1,4.16,4.07,4477242.0,601818
2017-10-20,4.1,4.11,4.15,4.1,4279427.0,601818
2017-10-27,4.11,4.07,4.11,4.04,4748524.0,601818
2017-11-03,4.08,4.03,4.09,3.98,5814865.0,601818
2017-11-10,4.01,4.0,4.07,3.99,5324388.0,601818
2017-11-17,4.0,4.09,4.1,4.0,7316243.0,601818
2017-11-24,4.06,4.18,4.26,4.05,10829391.0,601818
2017-11-29,4.17,4.13,4.19,4.1,3745322.0,601818
