date,open,close,high,low,volume,code
2017-05-05,7.91,8.04,8.25,7.91,72910.0,600695
2017-05-12,8.05,7.53,8.05,7.41,82696.0,600695
2017-05-19,7.51,7.53,7.78,7.36,60510.0,600695
2017-05-26,7.48,6.77,7.59,6.37,102134.0,600695
2017-06-02,6.79,6.15,6.88,5.83,113005.0,600695
2017-06-09,6.16,6.54,6.68,6.14,147546.0,600695
2017-06-16,6.42,6.62,6.72,6.21,136338.0,600695
2017-06-23,6.61,6.64,7.26,6.47,268453.0,600695
2017-06-30,6.57,6.58,6.83,6.53,122001.0,600695
2017-07-07,6.58,6.68,6.7,6.52,178297.0,600695
2017-07-14,6.68,6.5,6.89,6.41,158600.0,600695
2017-07-21,6.5,6.4,6.52,5.9,134412.0,600695
2017-07-28,6.4,6.7,7.01,6.33,235647.0,600695
2017-08-04,6.7,6.76,6.86,6.63,167320.0,600695
2017-08-11,6.72,6.52,6.98,6.51,177209.0,600695
2017-08-18,6.52,6.8,6.83,6.52,104827.0,600695
2017-08-25,6.8,6.77,6.87,6.61,105809.0,600695
2017-09-01,6.79,6.94,7.2,6.78,289584.0,600695
2017-09-08,6.88,6.84,6.97,6.65,184606.0,600695
2017-09-15,6.88,7.72,7.79,6.8,471598.0,600695
2017-09-22,7.72,8.03,8.25,7.72,409926.0,600695
2017-09-29,8.05,8.46,8.68,7.94,273920.0,600695
2017-10-13,8.3,9.11,9.27,7.7,696511.0,600695
2017-10-20,9.1,9.86,9.97,8.32,458895.0,600695
2017-10-27,10.28,10.29,10.34,9.63,388555.0,600695
2017-11-03,10.05,9.33,10.28,9.15,270747.0,600695
2017-11-10,9.3,10.27,10.32,8.44,334277.0,600695
2017-11-17,10.28,10.87,11.17,10.03,545798.0,600695
2017-11-24,10.31,11.03,11.25,10.21,236014.0,600695
