,code,name,date,nums,nlast,count,clast,amount,ratio
116,603027,千禾味业,2017-09-30,4,-30,253.35,-609.04,5882.72,1.90
117,603025,大豪科技,2017-09-30,1,-55,9.05,-108.15,275.21,0.18
118,603019,中科曙光,2017-09-30,24,-52,838.44,-925.33,30930.00,1.30
119,603011,合锻智能,2017-09-30,1,-5,255.15,-233.94,2747.95,0.62
120,603009,北特科技,2017-09-30,2,-6,923.40,446.15,13472.35,2.88
121,603008,喜临门,2017-09-30,12,-91,1418.58,-3231.25,24342.83,4.50
122,603006,联明股份,2017-09-30,2,-9,576.83,-542.68,11859.64,8.24
123,603005,晶方科技,2017-09-30,7,-88,496.36,-699.08,16399.80,2.89
124,603001,奥康国际,2017-09-30,2,-92,1626.03,-2252.99,28585.67,4.06
125,601999,出版传媒,2017-09-30,3,-23,222.92,-331.83,2021.88,0.40
126,601998,中信银行,2017-09-30,51,-384,5859.53,-30202.52,36915.04,0.18
127,601997,贵阳银行,2017-09-30,29,-223,4551.47,-10672.24,66952.07,3.77
128,601996,丰林集团,2017-09-30,1,-8,139.75,-481.42,715.52,0.15
129,601992,金隅股份,2017-09-30,11,-130,603.19,-14477.59,3830.25,0.07
130,601991,大唐发电,2017-09-30,9,-48,267.27,-6687.61,1208.06,0.03
131,601989,中国重工,2017-09-30,79,-320,137177.19,-30368.92,884646.04,7.47
132,601988,中国银行,2017-09-30,356,-326,121092.74,-64260.44,498902.08,0.57
133,601985,中国核电,2017-09-30,26,-337,1624.08,-27462.81,12115.65,0.38
134,601969,海南矿业,2017-09-30,9,-11,4329.39,-168.16,48781.85,5.04
135,601966,玲珑轮胎,2017-09-30,16,-83,550.99,24.28,10964.61,1.40
136,601965,中国汽研,2017-09-30,9,-54,631.98,-6441.56,6161.81,0.66
137,601952,苏垦农发,2017-09-30,21,-60,5076.56,3505.87,74777.70,19.53
138,601939,建设银行,2017-09-30,341,-314,72658.62,-30144.54,506430.57,7.57
139,601933,永辉超市,2017-09-30,103,-320,46210.56,-30329.23,369222.40,7.10
140,601928,凤凰传媒,2017-09-30,6,-155,340.29,-2659.26,3147.72,0.13
141,601919,中远海控,2017-09-30,18,-236,3969.64,-13146.42,27350.80,0.52
142,601908,京运通,2017-09-30,2,-32,168.65,-917.43,962.99,0.08
143,601901,方正证券,2017-09-30,31,-201,25600.16,-18413.28,220161.42,3.11
144,601900,南方传媒,2017-09-30,2,-47,46.90,-815.06,558.11,0.27
145,601899,紫金矿业,2017-09-30,58,-328,41984.99,-45209.06,161266.73,2.66
146,601898,中煤能源,2017-09-30,15,-138,7771.95,-15152.34,48030.63,0.85
147,601888,中国国旅,2017-09-30,109,-257,7755.93,-7631.36,267502.07,3.97
148,601881,中国银河,2017-09-30,11,-193,106.29,-6630.83,1662.41,0.18
149,601878,浙商证券,2017-09-30,6,-872,27.94,-869.89,595.04,0.08
150,601877,正泰电器,2017-09-30,42,-176,3971.10,-2810.28,80606.52,3.00
151,601872,招商轮船,2017-09-30,9,-175,2110.03,-10543.69,10444.65,0.45
152,601866,中远海发,2017-09-30,1,-157,0.07,-15373.42,0.27,0.00
153,601857,中国石油,2017-09-30,76,-372,10356.25,-18947.29,82746.43,0.06
154,601818,光大银行,2017-09-30,80,-504,35852.39,-132618.29,145202.19,0.90
155,601801,皖新传媒,2017-09-30,3,-122,154.32,-3963.35,1879.62,0.08
156,601800,中国交建,2017-09-30,26,-410,719.29,-13641.81,11012.33,0.06
157,601799,星宇股份,2017-09-30,30,-78,2804.60,-985.77,139753.41,10.16
158,601788,光大证券,2017-09-30,15,-325,438.61,-25822.60,6811.61,0.11
159,601777,力帆股份,2017-09-30,3,-52,997.36,-2335.24,8866.52,0.81
160,601766,中国中车,2017-09-30,53,-390,11224.08,-31312.88,109210.33,0.49
161,601727,上海电气,2017-09-30,8,-173,7387.47,-10321.12,59247.54,0.75
162,601718,际华集团,2017-09-30,2,-169,2551.89,-5893.03,19840.96,0.66
163,601717,郑煤机,2017-09-30,40,-114,16041.34,-10279.86,124348.53,11.64
164,601700,风范股份,2017-09-30,3,-29,421.21,-62.26,3142.22,0.37
165,601699,潞安环能,2017-09-30,47,-181,7897.06,-12481.82,80944.90,2.64
166,601689,拓普集团,2017-09-30,27,-164,2414.41,-3899.13,69341.73,14.14
167,601688,华泰证券,2017-09-30,249,-315,38503.13,-21900.47,870940.82,7.07
168,601678,滨化股份,2017-09-30,7,-110,266.88,-3281.57,2337.83,0.22
169,601677,明泰铝业,2017-09-30,4,-70,185.19,-4669.63,2542.60,0.39
170,601669,中国电建,2017-09-30,16,-238,3268.80,-21717.34,26126.19,0.34
171,601668,中国建筑,2017-09-30,219,-507,49390.63,-74413.56,458345.06,1.66
172,601666,平煤股份,2017-09-30,7,-71,7884.97,-1394.56,52513.93,3.34
173,601636,旗滨集团,2017-09-30,12,-148,1115.98,-16809.94,5892.37,0.44
174,601633,长城汽车,2017-09-30,20,-248,4929.92,-5902.24,60440.83,0.82
175,601628,中国人寿,2017-09-30,97,-437,14081.10,-10762.42,390609.62,0.68
176,601618,中国中冶,2017-09-30,29,-172,7847.81,-24952.28,38358.28,0.48
177,601611,中国核建,2017-09-30,8,-104,759.13,-111.30,9048.81,0.79
178,601607,上海医药,2017-09-30,115,-612,8985.40,-25768.46,213313.40,4.67
179,601601,中国太保,2017-09-30,373,-485,42456.79,-11468.72,1567929.28,6.75
180,601600,中国铝业,2017-09-30,167,-149,47195.55,-8015.10,359742.97,4.31
181,601588,北辰实业,2017-09-30,1,-32,160.00,-3011.41,923.20,0.06
182,601579,会稽山,2017-09-30,1,-23,11.55,-288.72,141.83,0.03
183,601567,三星医疗,2017-09-30,1,-48,0.62,-1779.52,6.89,0.00
184,601566,九牧王,2017-09-30,2,-53,2.80,-1494.12,46.14,0.00
185,601555,东吴证券,2017-09-30,29,-290,1848.14,-26240.58,22565.79,0.64
186,601398,工商银行,2017-09-30,626,-293,215643.28,-45252.77,1293859.66,0.80
187,601390,中国中铁,2017-09-30,81,-307,26411.95,-15576.87,228463.33,1.44
188,601388,怡球资源,2017-09-30,4,-38,558.49,-4870.27,3038.16,0.28
189,601377,兴业证券,2017-09-30,59,-235,32938.97,-29971.96,278993.12,4.97
190,601375,中原证券,2017-09-30,2,-122,5.34,-7317.67,49.28,0.01
191,601369,陕鼓动力,2017-09-30,1,-21,10.00,-3322.54,70.40,0.01
192,601366,利群股份,2017-09-30,1,-47,0.84,-38.33,10.34,0.00
193,601339,百隆东方,2017-09-30,5,-84,130.77,-7257.67,753.23,0.09
194,601336,新华保险,2017-09-30,214,-456,13772.50,-4407.09,780487.35,6.60
195,601333,广深铁路,2017-09-30,17,-234,2816.42,-22226.58,14251.08,0.50
196,601328,交通银行,2017-09-30,368,-302,169021.94,-36178.79,1068218.67,4.31
197,601318,中国平安,2017-09-30,1024,-313,85427.31,-10948.23,4626743.32,7.89
198,601313,江南嘉捷,2017-09-30,3,-33,6.42,-557.64,56.43,0.02
199,601311,骆驼股份,2017-09-30,6,-98,104.99,-3382.58,1637.82,0.12
200,601288,农业银行,2017-09-30,538,-267,322841.16,-67328.22,1233253.22,1.10
201,601258,庞大集团,2017-09-30,2,-56,71.16,-5157.69,202.81,0.01
202,601238,广汽集团,2017-09-30,3,-83,51.34,-1398.84,1377.97,0.01
203,601233,桐昆股份,2017-09-30,57,-164,3491.17,-5107.26,59908.51,2.90
204,601231,环旭电子,2017-09-30,19,-198,1995.79,-5819.27,28479.97,0.92
205,601229,上海银行,2017-09-30,4,-223,105.65,-4573.74,1886.93,0.03
206,601228,广州港,2017-09-30,1,-37,3.29,-90.15,22.08,0.00
207,601225,陕西煤业,2017-09-30,47,-342,9422.91,-31904.88,82921.60,0.94
208,601222,林洋能源,2017-09-30,40,-52,15547.37,6520.39,137905.13,8.92
209,601216,君正集团,2017-09-30,1,-155,159.00,-7726.60,802.95,0.02
210,601211,国泰君安,2017-09-30,156,-313,39361.36,-18026.73,851386.28,8.32
211,601200,上海环境,2017-09-30,4,-9,612.54,-310.92,15129.86,1.97
212,601198,东兴证券,2017-09-30,2,-287,17.16,-11842.35,315.57,0.01
213,601186,中国铁建,2017-09-30,49,-449,13649.17,-23508.41,161879.11,1.19
214,601179,中国西电,2017-09-30,3,-104,265.69,-10367.73,1450.66,0.05
215,601169,北京银行,2017-09-30,103,-449,35200.64,-48094.93,262596.75,1.93
216,601168,西部矿业,2017-09-30,11,-117,435.39,-5599.26,4014.30,0.18
217,601166,兴业银行,2017-09-30,494,-315,91298.96,-11741.36,1578558.95,4.79
218,601155,新城控股,2017-09-30,51,-292,8889.43,-4754.39,158854.06,12.61
219,601139,深圳燃气,2017-09-30,5,-45,330.68,-2548.28,2867.00,0.15
220,601137,博威合金,2017-09-30,5,-30,1736.64,-516.28,22558.93,3.08
221,601127,小康股份,2017-09-30,5,-122,218.18,-452.02,4889.49,1.21
222,601118,海南橡胶,2017-09-30,5,-124,888.41,-2443.25,5712.50,0.23
223,601117,中国化学,2017-09-30,7,-171,4597.11,-13699.79,31214.40,0.93
224,601116,三江购物,2017-09-30,1,-10,24.00,-84.73,634.80,0.06
225,601111,中国国航,2017-09-30,21,-406,6556.34,-35683.62,56041.59,0.77
226,601100,恒立液压,2017-09-30,6,-63,2615.70,-3270.53,47579.56,4.15
227,601098,中南传媒,2017-09-30,21,-178,1157.83,-11806.58,17680.05,0.64
228,601088,中国神华,2017-09-30,73,-407,6637.70,-21865.43,138993.36,0.40
229,601069,西部黄金,2017-09-30,7,-50,332.57,-2119.10,6934.13,1.75
230,601058,赛轮金宇,2017-09-30,5,-49,1110.40,-3963.11,4141.80,0.49
231,601021,春秋航空,2017-09-30,32,-167,1204.12,-2322.04,40229.73,6.02
232,601020,华钰矿业,2017-09-30,2,-63,0.47,-297.75,11.94,0.00
233,601018,宁波港,2017-09-30,2,-173,49.55,-13756.14,290.88,0.00
234,601015,陕西黑猫,2017-09-30,8,-27,1016.60,-701.84,11416.44,2.29
235,601012,隆基股份,2017-09-30,179,-113,25594.52,-4845.26,754270.58,13.02
236,601011,宝泰隆,2017-09-30,9,-15,2064.97,-565.23,23974.33,1.58
237,601009,南京银行,2017-09-30,86,-416,11086.03,-23496.47,87690.50,1.37
238,601006,大秦铁路,2017-09-30,158,-548,53985.97,-35597.02,472377.25,3.63
239,601003,柳钢股份,2017-09-30,3,-24,541.74,-289.25,4052.20,0.21
240,601001,大同煤业,2017-09-30,14,-62,1357.39,-2907.53,10166.84,0.81
241,601000,唐山港,2017-09-30,2,-77,981.54,-5714.95,4764.66,0.24
242,600999,招商证券,2017-09-30,115,-304,17983.39,-10460.98,384664.68,3.67
243,600998,九州通,2017-09-30,56,-165,3503.88,-6414.82,72249.99,2.13
244,600997,开滦股份,2017-09-30,12,-22,9754.20,6079.02,76472.95,7.90
245,600993,马应龙,2017-09-30,5,-120,802.99,-3623.77,16075.83,1.87
246,600990,四创电子,2017-09-30,11,-129,1371.55,-3653.30,79097.03,10.03
247,600988,赤峰黄金,2017-09-30,3,-30,321.18,-2587.75,4364.77,0.26
248,600987,航民股份,2017-09-30,8,-95,1018.96,-5048.97,12186.81,1.60
249,600985,雷鸣科化,2017-09-30,6,-6,2612.55,-623.57,33339.54,9.94
250,600979,广安爱众,2017-09-30,2,-17,124.01,-2403.40,706.86,0.17
251,600978,宜华生活,2017-09-30,15,-133,6259.59,-2407.56,64786.79,4.22
252,600977,中国电影,2017-09-30,6,-211,1023.91,-2939.90,17682.98,1.81
253,600976,健民集团,2017-09-30,8,-47,1379.02,-3240.84,36502.72,9.00
254,600975,新五丰,2017-09-30,4,-13,73.90,-169.87,485.90,0.16
255,600971,恒源煤电,2017-09-30,6,-91,783.18,-4788.85,8912.58,0.78
256,600969,郴电国际,2017-09-30,4,-20,1443.70,-270.44,20904.77,5.46
257,600967,内蒙一机,2017-09-30,29,-111,5710.46,-16008.35,77205.46,6.94
258,600966,博汇纸业,2017-09-30,25,-92,2447.21,-8563.58,17693.36,1.83
