,code,name,date,nums,nlast,count,clast,amount,ratio
0,603997,继峰股份,2017-06-30,17,12,69.75,-308.50,1019.06,0.41
1,603996,中新科技,2017-06-30,26,24,353.05,32.58,6037.13,3.42
2,603993,洛阳钼业,2017-06-30,299,273,38235.95,29178.83,193473.92,2.95
3,603989,艾华集团,2017-06-30,94,84,2729.73,2117.00,107114.62,32.35
4,603986,兆易创新,2017-06-30,122,95,1002.85,947.09,78031.70,6.81
5,603979,金诚信,2017-06-30,36,27,377.03,-1251.62,6680.96,1.55
6,603969,银龙股份,2017-06-30,26,25,267.67,207.43,5278.42,1.75
7,603968,醋化股份,2017-06-30,37,34,994.25,949.14,22330.85,7.28
8,603959,百利科技,2017-06-30,19,18,146.05,145.77,2634.69,1.37
9,603955,大千生态,2017-06-30,29,28,193.39,193.27,8640.83,8.89
10,603939,益丰药房,2017-06-30,71,59,3172.41,1395.07,106876.93,15.97
11,603929,亚翔集成,2017-06-30,37,35,113.07,112.63,2546.35,2.12
12,603906,龙蟠科技,2017-06-30,42,38,11.50,10.37,259.49,0.22
13,603901,永创智能,2017-06-30,11,10,807.16,683.04,9564.79,5.24
14,603899,晨光文具,2017-06-30,89,66,6566.24,3758.67,114252.62,29.31
15,603898,好莱客,2017-06-30,138,112,3938.02,2038.96,137633.91,44.25
16,603888,新华网,2017-06-30,71,67,400.85,393.87,12983.43,2.27
17,603883,老百姓,2017-06-30,152,151,1882.58,1602.56,91587.41,22.38
18,603881,数据港,2017-06-30,16,11,3.17,1.92,154.66,0.06
19,603877,太平鸟,2017-06-30,52,50,64.02,63.39,1792.03,1.16
20,603869,北部湾旅,2017-06-30,41,32,1085.87,429.58,29546.44,9.71
21,603868,飞科电器,2017-06-30,143,119,1261.92,1032.80,78036.90,28.94
22,603866,桃李面包,2017-06-30,101,87,965.93,587.70,34367.96,16.32
23,603833,欧派家居,2017-06-30,269,97,1798.01,1765.11,197528.98,43.32
24,603823,百合花,2017-06-30,177,173,635.46,620.76,13459.12,14.12
25,603818,曲美家居,2017-06-30,56,51,4569.93,2397.52,72799.01,34.72
26,603817,海峡环保,2017-06-30,14,10,4.93,2.10,84.76,0.04
27,603816,顾家家居,2017-06-30,205,185,4271.42,3836.64,251074.06,47.94
28,603808,歌力思,2017-06-30,95,67,3703.67,2204.75,109332.27,32.73
29,603806,福斯特,2017-06-30,114,105,1125.17,612.83,36016.76,2.80
30,603799,华友钴业,2017-06-30,215,193,6474.52,5033.20,385037.74,23.87
31,603798,康普顿,2017-06-30,9,7,11.05,10.63,295.54,0.13
32,603778,乾景园林,2017-06-30,6,2,4.66,-461.29,56.11,0.02
33,603768,常青股份,2017-06-30,47,-68,13.71,-16.85,348.90,0.27
34,603766,隆鑫通用,2017-06-30,142,136,6805.79,5554.05,49546.15,3.28
35,603737,三棵树,2017-06-30,58,46,777.24,455.00,49844.08,25.72
36,603729,龙韵股份,2017-06-30,8,7,60.82,46.47,4167.08,1.68
37,603727,博迈科,2017-06-30,30,27,14.88,13.74,480.03,0.25
38,603718,海利生物,2017-06-30,20,18,2348.84,445.72,32460.96,7.70
39,603717,天域生态,2017-06-30,40,-54,9.47,-13.70,308.88,0.22
40,603716,塞力斯,2017-06-30,19,16,342.25,182.42,33194.59,8.90
41,603703,盛洋科技,2017-06-30,13,4,261.94,-2284.97,4707.06,2.73
42,603686,龙马环卫,2017-06-30,60,43,2478.62,1144.48,85264.42,22.96
43,603678,火炬电子,2017-06-30,60,50,3326.75,2806.85,92583.36,13.95
44,603668,天马科技,2017-06-30,24,22,69.04,68.64,1017.63,0.93
45,603660,苏州科达,2017-06-30,286,277,1332.33,1308.92,54558.75,26.65
46,603658,安图生物,2017-06-30,98,97,1211.84,1052.05,52230.27,8.88
47,603639,海利尔,2017-06-30,40,37,22.78,22.42,1210.23,0.76
48,603638,艾迪精密,2017-06-30,27,25,262.27,261.94,9357.81,5.96
49,603630,拉芳家化,2017-06-30,37,29,31.02,29.64,1154.65,0.71
50,603628,清源股份,2017-06-30,28,23,23.44,22.15,522.77,0.34
51,603626,科森科技,2017-06-30,228,202,3147.88,2808.55,205178.77,42.69
52,603611,诺力股份,2017-06-30,48,44,597.26,520.38,15737.77,6.42
53,603609,禾丰牧业,2017-06-30,42,35,1335.30,558.79,12765.47,1.61
54,603601,再升科技,2017-06-30,21,15,1484.14,358.09,22187.93,6.96
55,603599,广信股份,2017-06-30,35,33,646.35,566.37,9779.32,4.74
56,603589,口子窖,2017-06-30,152,113,7335.74,4363.06,284553.35,24.99
57,603588,高能环境,2017-06-30,107,85,6868.62,4888.93,107150.50,14.04
58,603586,金麒麟,2017-06-30,64,55,15.97,14.13,543.77,0.30
59,603579,荣泰健康,2017-06-30,60,51,475.49,393.09,61728.44,13.59
60,603566,普莱柯,2017-06-30,40,38,1252.78,779.38,30392.34,7.73
61,603556,海兴电力,2017-06-30,84,66,2471.70,1579.73,108482.72,19.54
62,603555,贵人鸟,2017-06-30,33,23,1618.00,850.22,36178.49,2.64
63,603538,美诺华,2017-06-30,53,49,5.94,5.50,177.15,0.20
64,603528,多伦科技,2017-06-30,53,49,232.01,227.86,3333.97,1.24
65,603519,立霸股份,2017-06-30,12,11,410.52,284.09,8891.88,5.34
66,603518,维格娜丝,2017-06-30,35,32,345.58,256.37,8452.99,6.21
67,603517,绝味食品,2017-06-30,70,29,843.47,834.18,29411.64,16.87
68,603515,欧普照明,2017-06-30,126,125,2473.33,2360.45,89336.53,25.25
69,603456,九洲药业,2017-06-30,25,19,1171.82,218.33,19299.86,2.64
70,603444,吉比特,2017-06-30,73,71,61.10,60.10,17312.48,3.43
71,603399,新华龙,2017-06-30,7,6,53.86,45.36,683.48,0.11
72,603398,邦宝益智,2017-06-30,14,13,109.70,85.70,2352.07,2.08
73,603388,元成股份,2017-06-30,61,30,5.03,2.39,188.96,0.10
74,603385,惠达卫浴,2017-06-30,62,39,68.64,62.76,1838.73,0.97
75,603377,东方时尚,2017-06-30,94,78,2884.45,655.71,108426.52,24.50
76,603368,柳州医药,2017-06-30,148,139,3366.49,2820.17,192128.90,45.13
