date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,6.08,6.13,6.09,6.01,207038.05,0.0,0.0,6.01,5.974,6.112,198755.58,203500.01,209950.37,1.2
2017-11-09,5.97,6.09,6.09,5.94,212150.08,0.12,2.01,5.984,5.984,6.142,218869.52,198094.84,211917.46,1.23
2017-11-08,5.97,6.03,5.97,5.92,205445.0,0.0,0.0,5.934,6.003,6.169,221531.38,191288.46,227521.37,1.19
2017-11-07,5.93,5.98,5.97,5.85,171655.14,0.04,0.68,5.928,6.038,6.21,206859.04,180735.94,236150.86,1.0
2017-11-06,5.9,6.01,5.93,5.79,197489.62,-0.03,-0.5,5.928,6.07,6.26,205337.19,179063.83,246773.88,1.15
2017-11-03,5.95,6.08,5.96,5.91,307607.75,0.12,2.06,5.938,6.113,6.316,208244.44,189133.78,262739.59,1.79
2017-11-02,5.97,6.0,5.84,5.76,225459.41,-0.1,-1.68,5.984,6.133,6.376,177320.17,169789.5,272431.71,1.31
2017-11-01,5.96,5.99,5.94,5.91,132083.3,-0.03,-0.5,6.072,6.16,6.439,161045.53,169438.25,289956.73,0.77
2017-10-31,6.01,6.03,5.97,5.86,164045.88,-0.01,-0.17,6.148,6.188,6.495,154612.83,174976.45,308534.68,0.95
2017-10-30,6.18,6.19,5.98,5.9,212025.84,-0.21,-3.39,6.212,6.221,6.554,152790.47,179534.87,348110.3,1.23
2017-10-27,6.27,6.31,6.19,6.18,152986.41,-0.09,-1.43,6.288,6.25,6.6,170023.12,216400.73,359176.97,0.89
2017-10-26,6.28,6.38,6.28,6.24,144086.2,-0.04,-0.63,6.282,6.299,6.635,162258.82,225740.08,389988.29,0.84
2017-10-25,6.28,6.34,6.32,6.25,99919.83,0.03,0.48,6.248,6.334,6.666,177830.98,263754.29,411795.97,0.58
2017-10-24,6.32,6.36,6.29,6.24,154934.09,-0.07,-1.1,6.228,6.382,6.7,195340.07,291565.78,435105.52,0.9
2017-10-23,6.2,6.44,6.36,6.19,298189.09,0.2,3.25,6.23,6.45,6.729,206279.27,314483.93,448394.95,1.73
2017-10-20,6.11,6.18,6.16,6.1,114164.9,0.05,0.82,6.212,6.519,6.76,262778.33,336345.4,472406.45,0.66
2017-10-19,6.05,6.23,6.11,6.05,221947.0,-0.11,-1.77,6.316,6.619,6.789,289221.34,375073.93,493201.68,1.29
2017-10-18,6.29,6.33,6.22,6.2,187465.28,-0.08,-1.27,6.42,6.718,6.83,349677.59,410475.21,516230.35,1.09
2017-10-17,6.26,6.35,6.3,6.21,209630.08,0.03,0.48,6.536,6.802,6.857,387791.49,442092.91,548573.0,1.22
2017-10-16,6.5,6.51,6.27,6.26,580684.38,-0.41,-6.14,6.67,6.886,6.867,422688.59,516685.73,559186.69,3.38
2017-10-13,6.56,6.72,6.68,6.53,246379.98,0.05,0.75,6.826,6.949,6.883,409912.48,501953.22,562591.85,1.75
2017-10-12,6.8,6.83,6.63,6.54,524228.25,-0.17,-2.5,6.922,6.971,6.888,460926.51,554236.49,573621.58,3.72
2017-10-11,6.94,7.05,6.8,6.78,378034.75,-0.17,-2.44,7.016,6.998,6.897,471272.82,559837.66,589383.66,2.68
2017-10-10,7.04,7.04,6.97,6.92,384115.59,-0.08,-1.14,7.068,7.017,6.892,496394.33,578645.26,597340.96,2.73
2017-10-09,7.21,7.23,7.05,7.04,516803.81,-0.11,-1.54,7.102,7.007,6.877,610682.86,582305.97,614253.31,3.67
