date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,12.12,12.15,11.9,11.9,15657.6,-0.19,-1.57,12.056,12.095,12.349,14312.34,15651.59,17514.57,0.75
2017-11-09,12.07,12.15,12.08,11.95,13634.08,0.01,0.08,12.108,12.159,12.402,14856.63,16269.58,17326.71,0.66
2017-11-08,12.1,12.35,12.07,12.0,16894.4,0.01,0.08,12.086,12.23,12.448,15031.9,16534.52,17896.68,0.81
2017-11-07,12.15,12.15,12.06,11.85,13669.03,-0.11,-0.9,12.112,12.32,12.497,12853.84,18321.17,18354.17,0.66
2017-11-06,12.13,12.18,12.17,11.97,11706.61,0.01,0.08,12.142,12.352,12.554,15956.56,17890.73,19725.58,0.56
2017-11-03,11.97,12.24,12.16,11.8,18379.05,0.19,1.59,12.134,12.392,12.614,16990.84,18116.65,21711.71,0.88
2017-11-02,12.2,12.25,11.97,11.86,14510.4,-0.23,-1.89,12.21,12.421,12.661,17682.52,18182.78,23406.25,0.7
2017-11-01,12.23,12.25,12.2,12.12,6004.13,-0.01,-0.08,12.374,12.458,12.67,18037.15,18856.76,23933.29,0.29
2017-10-31,12.2,12.3,12.21,11.8,29182.6,0.08,0.66,12.528,12.492,12.696,23788.5,19324.93,24200.66,1.4
2017-10-30,12.44,12.58,12.13,12.1,16878.0,-0.41,-3.27,12.562,12.55,12.721,19824.9,18722.64,23371.46,0.81
2017-10-27,12.8,13.0,12.54,12.51,21837.46,-0.25,-1.96,12.65,12.603,12.749,19242.46,19377.54,23731.76,1.05
2017-10-26,12.86,12.87,12.79,12.56,16283.54,-0.18,-1.39,12.632,12.644,12.758,18683.04,18383.84,24233.99,0.78
2017-10-25,12.8,13.3,12.97,12.55,34760.89,0.59,4.77,12.542,12.665,12.77,19676.37,19258.84,26128.94,1.67
2017-10-24,12.59,12.59,12.38,12.35,9364.6,-0.19,-1.51,12.456,12.673,12.785,14861.36,18387.17,26987.13,0.45
2017-10-23,12.45,12.6,12.57,12.36,13965.8,0.12,0.96,12.538,12.755,12.805,17620.38,21560.44,27656.98,0.67
2017-10-20,12.35,12.51,12.45,12.2,19040.38,0.11,0.89,12.556,12.836,12.825,19512.62,25306.78,28125.92,0.92
2017-10-19,12.55,12.69,12.34,12.2,21250.2,-0.2,-1.59,12.656,12.901,12.842,18084.63,28629.71,28692.78,1.02
2017-10-18,12.79,12.93,12.54,12.51,10685.8,-0.25,-1.96,12.788,12.881,12.861,18841.3,29009.83,29981.76,0.51
2017-10-17,12.61,12.9,12.79,12.34,23159.7,0.13,1.03,12.89,12.9,12.883,21912.99,29076.39,32523.46,1.11
2017-10-16,12.8,13.05,12.66,12.55,23427.04,-0.29,-2.24,12.972,12.891,12.892,25500.5,28020.28,35725.1,1.13
2017-10-13,13.02,13.12,12.95,12.84,11900.4,-0.05,-0.39,13.116,12.894,12.877,31100.94,28085.98,37906.67,0.57
2017-10-12,13.03,13.08,13.0,12.61,25033.56,-0.05,-0.38,13.146,12.872,12.818,39174.79,30084.14,39019.74,1.2
2017-10-11,13.15,13.38,13.05,13.03,26044.26,-0.15,-1.14,12.974,12.875,12.75,39178.35,32999.04,40484.22,1.25
2017-10-10,13.42,13.49,13.2,13.08,41097.24,-0.18,-1.34,12.91,12.897,12.664,36239.8,35587.08,39887.11,1.98
2017-10-09,13.17,13.55,13.38,13.15,51429.24,0.28,2.14,12.81,12.855,12.569,30540.07,33753.51,38546.87,2.47
2017-09-29,12.13,13.3,13.1,12.13,52269.67,0.96,7.91,12.672,12.813,12.467,25071.03,30945.05,37434.22,2.51
2017-09-28,12.72,12.72,12.14,12.12,25051.34,-0.59,-4.63,12.598,12.782,12.375,20993.5,28755.84,36185.21,1.21
2017-09-27,12.82,12.82,12.73,12.64,11351.49,0.03,0.24,12.776,12.84,12.335,26819.73,30953.69,37342.71,0.55
2017-09-26,12.7,12.86,12.7,12.57,12598.6,0.01,0.08,12.884,12.865,12.277,34934.36,35970.53,39503.61,0.61
2017-09-25,12.82,12.97,12.69,12.54,24084.05,-0.04,-0.31,12.9,12.893,12.182,36966.96,43429.92,39897.28,1.16
2017-09-22,12.86,12.9,12.73,12.53,31882.0,-0.3,-2.3,12.954,12.86,12.09,36819.07,47727.36,39949.67,1.53
2017-09-21,13.47,13.8,13.03,13.0,54182.52,-0.24,-1.81,12.966,12.763,11.988,36518.19,47955.34,39884.2,2.61
2017-09-20,12.78,13.28,13.27,12.56,51924.62,0.49,3.83,12.904,12.624,11.865,35087.65,47969.39,38334.33,2.5
2017-09-19,12.91,13.05,12.78,12.7,22761.6,-0.18,-1.39,12.846,12.43,11.732,37006.71,44187.15,37779.85,1.1
2017-09-18,12.79,13.0,12.96,12.7,23344.62,0.17,1.33,12.886,12.283,11.619,49892.88,43340.23,37494.32,1.12
2017-09-15,12.81,12.86,12.79,12.5,30377.6,0.07,0.55,12.766,12.121,11.503,58635.65,43923.38,37267.29,1.46
2017-09-14,12.75,12.94,12.72,12.56,47029.83,-0.26,-2.0,12.56,11.968,11.391,59392.48,43614.57,36472.19,2.26
2017-09-13,13.1,13.38,12.98,12.7,61519.89,0.0,0.0,12.344,11.83,11.284,60851.13,43731.73,35173.93,2.96
2017-09-12,12.36,13.0,12.98,12.21,87192.44,0.62,5.02,12.014,11.688,11.165,51367.59,43036.69,33854.72,4.2
2017-09-11,11.77,12.6,12.36,11.77,67058.5,0.6,5.1,11.68,11.471,11.037,36787.59,36364.65,30533.29,3.23
2017-09-08,11.64,11.76,11.76,11.56,34161.74,0.12,1.03,11.476,11.319,10.933,29211.11,32171.98,27830.08,1.64
2017-09-07,11.31,11.9,11.64,11.31,54323.09,0.31,2.74,11.376,11.212,10.852,27836.66,31813.06,26861.57,2.61
2017-09-06,11.28,11.35,11.33,11.19,14102.18,0.02,0.18,11.316,11.106,10.783,26612.33,28699.28,25158.15,0.68
2017-09-05,11.4,11.42,11.31,11.18,14292.42,-0.03,-0.27,11.362,11.033,10.742,34705.8,31372.55,25317.01,0.69
2017-09-04,11.25,11.43,11.34,11.06,29176.11,0.08,0.71,11.262,10.954,10.707,35941.71,31648.41,25654.67,1.4
