date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,18.32,18.42,18.1,18.07,62591.96,-0.34,-1.84,18.248,18.095,18.811,73331.59,69553.02,79024.33,2.28
2017-11-09,18.23,18.8,18.44,18.12,80115.15,0.13,0.71,18.142,18.208,19.003,73145.96,68462.43,87171.98,2.92
2017-11-08,18.2,18.84,18.31,18.1,78592.96,-0.03,-0.16,18.072,18.304,19.135,70857.37,66042.8,87323.09,2.86
2017-11-07,18.05,18.42,18.34,17.84,84518.54,0.29,1.61,18.014,18.417,19.27,65505.31,63833.95,91437.58,3.08
2017-11-06,17.74,18.23,18.05,17.62,60839.33,0.48,2.73,17.974,18.514,19.459,58167.56,62798.69,93795.02,2.21
2017-11-03,18.07,18.25,17.57,17.41,61663.82,-0.52,-2.88,17.942,18.685,19.661,65774.45,68033.21,97487.83,2.24
2017-11-02,17.97,18.46,18.09,17.7,68672.2,0.07,0.39,18.274,18.844,19.899,63778.91,67010.48,104766.33,2.5
2017-11-01,18.23,18.68,18.02,18.01,51832.66,-0.12,-0.66,18.536,18.928,20.059,61228.24,69105.81,110363.76,1.89
2017-10-31,17.79,18.2,18.14,17.79,47829.8,0.25,1.4,18.82,19.07,20.198,62162.59,74282.44,113014.12,1.74
2017-10-30,19.08,19.16,17.89,17.53,98873.76,-1.34,-6.97,19.054,19.235,20.342,67429.81,82972.85,116589.11,3.6
2017-10-27,19.45,19.68,19.23,19.2,51686.11,-0.17,-0.88,19.428,19.526,20.49,70291.98,88495.64,119928.37,1.88
2017-10-26,19.53,19.68,19.4,19.23,55918.86,-0.04,-0.21,19.414,19.798,20.611,70242.05,105881.53,127348.69,2.04
2017-10-25,19.23,19.67,19.44,19.23,56504.41,0.13,0.67,19.32,19.965,20.749,76983.38,108603.38,147835.43,2.06
2017-10-24,19.7,19.76,19.31,19.01,74165.91,-0.45,-2.28,19.32,20.122,20.944,86402.3,119041.21,164743.67,2.7
2017-10-23,19.16,20.18,19.76,19.13,113184.61,0.6,3.13,19.416,20.404,21.04,98515.88,124791.35,169398.52,4.12
2017-10-20,19.0,19.28,19.16,18.85,51436.46,0.23,1.22,19.624,20.636,21.083,106699.3,126942.44,167307.51,1.87
2017-10-19,19.31,19.49,18.93,18.75,89625.5,-0.51,-2.62,20.182,20.953,21.161,141521.01,142522.18,169269.63,3.26
2017-10-18,19.81,20.29,19.44,19.33,103599.03,-0.35,-1.77,20.61,21.19,21.248,140223.37,151621.72,170498.67,3.77
2017-10-17,20.57,20.57,19.79,19.79,134733.8,-1.01,-4.86,20.924,21.325,21.327,151680.11,151745.79,174656.6,4.9
2017-10-16,21.9,21.91,20.8,20.7,154101.7,-1.15,-5.24,21.392,21.448,21.344,151066.81,150205.37,172448.42,5.61
2017-10-13,20.88,22.3,21.95,20.55,225545.0,0.88,4.18,21.648,21.453,21.317,147185.58,151361.1,169387.49,8.21
2017-10-12,20.89,21.42,21.07,20.83,83137.33,0.06,0.29,21.724,21.424,21.22,143523.35,148815.85,164769.84,3.03
2017-10-11,21.85,21.93,21.01,20.93,160882.73,-1.12,-5.06,21.77,21.533,21.195,163020.06,187067.49,166075.42,5.86
2017-10-10,21.99,22.44,22.13,21.71,131667.31,0.05,0.23,21.726,21.766,21.185,151811.48,210446.12,165898.84,4.79
2017-10-09,22.37,22.38,22.08,21.82,134695.53,-0.25,-1.12,21.504,21.675,21.143,149343.92,214005.7,168155.18,4.9
2017-09-29,21.29,22.33,22.33,21.29,207233.84,1.03,4.84,21.258,21.529,21.143,155536.61,207672.59,169247.15,7.54
2017-09-28,20.71,22.09,21.3,20.68,180620.88,0.51,2.45,21.124,21.368,21.126,154108.35,196017.09,166130.31,6.57
2017-09-27,21.02,21.17,20.79,20.68,104839.82,-0.23,-1.09,21.296,21.305,21.139,211114.93,189375.63,162967.43,3.82
2017-09-26,20.52,21.2,21.02,20.43,119329.53,0.17,0.81,21.806,21.328,21.187,269080.77,197567.41,167782.47,4.34
2017-09-25,21.52,22.08,20.85,20.85,165658.98,-0.81,-3.74,21.846,21.24,21.204,278667.48,194691.48,169796.25,6.03
2017-09-22,21.91,22.09,21.66,21.4,200092.56,-0.5,-2.26,21.8,21.18,21.206,259808.57,187413.88,169311.89,7.28
2017-09-21,23.98,23.98,22.16,22.12,465653.75,-1.18,-5.06,21.612,21.016,21.162,237925.83,180723.82,171999.38,16.95
2017-09-20,21.0,23.34,23.34,21.0,394669.03,2.12,9.99,21.314,20.857,21.144,167636.33,145083.35,155725.96,14.37
2017-09-19,20.66,21.8,21.22,20.35,167263.06,0.6,2.91,20.85,20.603,21.065,126054.05,121351.56,141155.52,6.09
2017-09-18,20.62,20.85,20.62,20.2,71364.43,-0.1,-0.48,20.634,20.611,21.099,110715.48,122304.65,140656.82,2.6
2017-09-15,20.6,21.09,20.72,20.57,90678.87,0.05,0.24,20.56,20.757,21.204,115019.19,130821.7,143954.72,3.3
2017-09-14,20.76,20.97,20.67,20.45,114206.28,-0.35,-1.67,20.42,20.884,21.298,123521.82,136243.53,151424.91,4.16
2017-09-13,20.15,21.8,21.02,20.08,186757.59,0.88,4.37,20.4,20.973,21.411,122530.36,136559.22,156814.13,6.8
2017-09-12,20.25,20.5,20.14,20.02,90570.21,-0.11,-0.54,20.356,21.046,21.508,116649.08,137997.53,158187.23,3.3
2017-09-11,20.0,20.25,20.25,19.84,92883.0,0.23,1.15,20.588,21.167,21.669,133893.83,144901.02,169096.09,3.38
2017-09-08,20.51,20.68,20.02,19.94,133192.0,-0.55,-2.67,20.954,21.232,21.854,146624.22,151209.9,184295.03,4.85
2017-09-07,20.7,21.1,20.57,20.56,109249.0,-0.23,-1.11,21.348,21.307,21.973,148965.23,163274.94,195010.39,3.98
2017-09-06,21.08,21.09,20.8,20.4,157351.17,-0.5,-2.35,21.546,21.431,22.069,150588.09,166368.57,212625.2,5.73
2017-09-05,22.48,22.48,21.3,21.27,176794.0,-0.78,-3.53,21.736,21.526,22.095,159345.99,160959.47,221419.95,6.44
2017-09-04,21.91,22.44,22.08,21.78,156534.91,0.09,0.41,21.746,21.586,22.058,155908.21,159008.98,226928.26,5.7
2017-09-01,21.63,22.21,21.99,21.42,144897.09,0.43,1.99,21.51,21.65,21.955,155795.59,157087.74,224097.4,5.27
2017-08-31,21.59,21.6,21.56,21.2,117363.27,-0.19,-0.87,21.266,21.712,21.841,177584.64,166606.29,224176.04,4.27
2017-08-30,21.62,22.27,21.75,21.48,201140.69,0.4,1.87,21.316,21.849,21.775,182149.05,177069.04,228759.85,7.32
2017-08-29,20.73,21.5,21.35,20.73,159605.11,0.45,2.15,21.316,21.97,21.664,162572.95,178376.92,223738.09,5.81
2017-08-28,20.6,21.07,20.9,20.34,155971.8,0.13,0.63,21.426,22.17,21.574,162109.74,193291.16,220366.07,5.68
2017-08-25,21.5,21.68,20.77,20.12,253842.31,-1.04,-4.77,21.79,22.475,21.522,158379.89,217380.16,220647.32,9.24
