date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,9.15,9.16,8.94,8.93,405587.16,-0.2,-2.19,9.13,9.253,9.313,215346.81,210575.11,205846.34,1.04
2017-11-09,9.15,9.18,9.14,9.09,190013.69,-0.02,-0.22,9.174,9.322,9.346,170714.02,224561.02,197031.09,0.49
2017-11-08,9.18,9.27,9.16,9.15,186671.92,-0.03,-0.33,9.2,9.339,9.366,172861.11,224705.23,195281.33,0.48
2017-11-07,9.22,9.22,9.19,9.12,179166.36,-0.03,-0.33,9.266,9.362,9.383,176497.81,216699.75,196808.11,0.46
2017-11-06,9.16,9.22,9.22,9.12,115294.93,0.06,0.66,9.328,9.38,9.402,171893.61,217484.23,201096.44,0.3
2017-11-03,9.26,9.3,9.16,9.11,182423.2,-0.11,-1.19,9.376,9.388,9.422,205803.42,219761.9,208084.21,0.47
2017-11-02,9.52,9.52,9.27,9.27,200749.16,-0.22,-2.32,9.47,9.398,9.442,278408.03,214533.55,208711.89,0.52
2017-11-01,9.49,9.58,9.49,9.45,204855.41,-0.01,-0.1,9.478,9.381,9.455,276549.34,218477.41,212855.52,0.53
2017-10-31,9.45,9.56,9.5,9.4,156145.34,0.04,0.42,9.458,9.37,9.471,256901.7,211852.16,215803.64,0.4
2017-10-30,9.66,9.66,9.46,9.41,284843.97,-0.17,-1.76,9.432,9.367,9.482,263074.85,211221.13,225561.32,0.73
2017-10-27,9.46,9.66,9.63,9.45,545446.25,0.32,3.44,9.4,9.372,9.492,233720.39,201117.57,243371.16,1.4
2017-10-26,9.39,9.39,9.31,9.28,191455.73,-0.08,-0.85,9.326,9.37,9.526,150659.08,169501.16,226744.82,0.49
2017-10-25,9.35,9.45,9.39,9.32,106617.19,0.02,0.21,9.284,9.392,9.577,160405.49,165857.43,235636.02,0.27
2017-10-24,9.29,9.47,9.37,9.25,187011.12,0.07,0.75,9.282,9.404,9.633,166802.63,176916.46,252944.09,0.48
2017-10-23,9.26,9.36,9.3,9.21,138071.66,0.04,0.43,9.302,9.423,9.695,159367.41,184708.66,285944.4,0.35
2017-10-20,9.11,9.27,9.26,9.08,130139.71,0.16,1.76,9.344,9.456,9.762,168514.76,196406.52,308020.6,0.33
