date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-11-10,103.16,103.17,103.16,103.16,1328295.0,0.01,0.01,103.142,103.105,103.034,1283042.67,1221480.46,1045931.56
2017-11-09,103.15,103.15,103.15,103.15,1343599.88,0.01,0.01,103.136,103.089,103.021,1277182.8,1193660.6,1013015.84
2017-11-08,103.14,103.14,103.14,103.14,1332179.62,0.01,0.01,103.124,103.073,103.007,1254409.05,1166130.02,980074.38
2017-11-07,103.13,103.14,103.13,103.13,1326790.62,0.0,0.0,103.108,103.057,102.993,1217791.6,1131021.81,949409.24
2017-11-06,103.13,103.13,103.13,103.12,1084348.25,0.0,0.0,103.09,103.042,102.978,1176691.42,1081864.86,913718.16
2017-11-03,103.1,103.14,103.13,103.09,1298995.62,0.04,0.04,103.068,103.026,102.961,1159918.25,1069962.17,886744.39
2017-11-02,103.07,103.09,103.09,103.07,1229731.12,0.03,0.03,103.042,103.009,102.943,1110138.4,1024311.45,853192.0
2017-11-01,103.05,103.07,103.06,103.05,1149092.38,0.02,0.02,103.022,102.994,102.921,1077851.0,969797.31,821251.35
2017-10-31,103.03,103.04,103.04,103.02,1121289.75,0.02,0.02,103.006,102.982,102.9,1044252.01,942332.68,794815.86
2017-10-30,103.02,103.02,103.02,103.0,1000482.38,0.02,0.02,102.994,102.972,102.883,987038.3,904748.0,777046.25
2017-10-27,103.01,103.01,103.0,103.0,1050096.38,0.01,0.01,102.984,102.962,102.866,980006.09,870382.66,758164.21
2017-10-26,102.98,102.99,102.99,102.98,1068294.12,0.01,0.01,102.976,102.953,102.851,938484.5,832371.08,737398.88
2017-10-25,102.99,102.99,102.98,102.98,981097.44,0.0,0.0,102.966,102.941,102.834,861743.61,794018.74,716787.75
2017-10-24,102.98,102.98,102.98,102.97,835221.19,0.01,0.01,102.958,102.928,102.816,840413.34,767796.67,701359.16
2017-10-23,102.97,102.97,102.97,102.96,965321.31,0.01,0.01,102.95,102.913,102.796,822457.7,745571.46,690842.62
2017-10-20,102.95,102.96,102.96,102.95,842488.44,0.02,0.02,102.94,102.895,102.776,760759.24,703526.61,676910.98
2017-10-19,102.94,102.94,102.94,102.94,684589.69,0.0,0.0,102.93,102.876,102.757,726257.66,682072.56,667922.32
2017-10-18,102.94,102.95,102.94,102.93,874446.06,0.0,0.0,102.916,102.847,102.738,726293.87,672705.39,675083.63
