name,index
交通运输,0
仪器仪表,1
传媒娱乐,2
供水供气,3
公路桥梁,4
其它行业,5
农林牧渔,6
农药化肥,7
化工行业,8
化纤行业,9
医疗器械,10
印刷包装,11
发电设备,12
商业百货,13
塑料制品,14
家具行业,15
家电行业,16
建筑建材,17
开发区,18
房地产,19
摩托车,20
有色金属,21
服装鞋类,22
机械行业,23
次新股,24
水泥行业,25
汽车制造,26
煤炭行业,27
物资外贸,28
环保行业,29
玻璃行业,30
生物制药,31
电力行业,32
电器行业,33
电子信息,34
电子器件,35
石油行业,36
纺织机械,37
纺织行业,38
综合行业,39
船舶制造,40
造纸行业,41
酒店旅游,42
酿酒行业,43
金融行业,44
钢铁行业,45
陶瓷行业,46
飞机制造,47
食品行业,48
