name,index
上海,0
云南,1
内蒙,2
北京,3
吉林,4
四川,5
天津,6
宁夏,7
安徽,8
山东,9
山西,10
广东,11
广西,12
新疆,13
江苏,14
江西,15
河北,16
河南,17
浙江,18
海南,19
深圳,20
湖北,21
湖南,22
甘肃,23
福建,24
西藏,25
贵州,26
辽宁,27
重庆,28
陕西,29
青海,30
黑龙江,31
